variant;number_sequenced;percent_cases_sequenced
B.1.1.7;3.891;65,66
B.1.351;23;0,39
P.1;97;1,64
B.1.617.2;557;9,4
P.2;4;0,07
B.1.525;141;2,38
B.1.617.1;5;0,08
B.1.1.7 + E484K;15;0,25
Other;1.193;20,13
;;
