variant;number_sequenced;percent_cases_sequenced
B.1.1.7;21.476;70,4
B.1.351;40;0,13
P.1;533;1,8
P.2;3;0,01
B.1.525;365;1,2
B.1.1.7 + E484K;17;0,06
B.1.617.1;9;0,03
B.1.617.2;745;2,4
P.1.1;1.171;3,84
Altro lignaggio;6.141;20,13
