Settimana del;Positivi;Sintomatici;;;;;;;
2020-01-30;NA;NA;;;;;;;
2020-01-31;NA;NA;;;;;;;
2020-02-01;NA;NA;;;;;;;
2020-02-02;NA;NA;;;;;;;
2020-02-03;NA;NA;;;;;;;
2020-02-04;NA;NA;;;;;;;
2020-02-05;NA;NA;;;;;;;
2020-02-06;NA;NA;;;;;;;
2020-02-07;NA;NA;;;;;;;
2020-02-08;NA;NA;;;;;;;
2020-02-09;NA;NA;;;;;;;
2020-02-10;NA;NA;;;;;;;
2020-02-11;NA;NA;;;;;;;
2020-02-12;NA;NA;;;;;;;
2020-02-13;NA;NA;;;;;;;
2020-02-14;NA;NA;;;;;;;
2020-02-15;NA;NA;;;;;;;
2020-02-16;NA;NA;;;;;;;
2020-02-17;NA;NA;;;;;;;
2020-02-18;NA;NA;;;;;;;
2020-02-19;NA;NA;;;;;;;
2020-02-20;NA;NA;;;;;;;
2020-02-21;NA;NA;;;;;;;
2020-02-22;NA;NA;;;;;;;
2020-02-23;NA;NA;;;;;;;
2020-02-24;NA;NA;;;;;;;
2020-02-25;NA;NA;;;;;;;
2020-02-26;NA;NA;;;;;;;
2020-02-27;NA;NA;;;;;;;
2020-02-28;NA;NA;;;;;;;
2020-02-29;NA;NA;;;;;;;
2020-03-01;NA;NA;;;;;;;
2020-03-02;NA;NA;;;;;;;
2020-03-03;NA;NA;;;;;;;
2020-03-04;NA;NA;;;;;;;
2020-03-05;NA;NA;;;;;;;
2020-03-06;3,05;3,12;;;;;;;
2020-03-07;3,16;3,17;;;;;;;
2020-03-08;3,20;3,13;;;;;;;
2020-03-09;3,29;3,13;;;;;;;
2020-03-10;3,34;3,10;;;;;;;
2020-03-11;3,39;3,06;;;;;;;
2020-03-12;3,31;3,05;;;;;;;
2020-03-13;3,11;2,93;;;;;;;
2020-03-14;2,98;2,84;;;;;;;
2020-03-15;2,88;2,77;;;;;;;
2020-03-16;2,75;2,66;;;;;;;
2020-03-17;2,63;2,54;;;;;;;
2020-03-18;2,45;2,39;;;;;;;
2020-03-19;2,26;2,21;;;;;;;
2020-03-20;2,12;2,08;;;;;;;
2020-03-21;1,96;1,92;;;;;;;
2020-03-22;1,81;1,78;;;;;;;
2020-03-23;1,65;1,63;;;;;;;
2020-03-24;1,54;1,52;;;;;;;
2020-03-25;1,44;1,42;;;;;;;
2020-03-26;1,35;1,33;;;;;;;
2020-03-27;1,28;1,26;;;;;;;
2020-03-28;1,21;1,19;;;;;;;
2020-03-29;1,15;1,13;;;;;;;
2020-03-30;1,09;1,08;;;;;;;
2020-03-31;1,05;1,03;;;;;;;
2020-04-01;1,01;0,99;;;;;;;
2020-04-02;0,97;0,96;;;;;;;
2020-04-03;0,93;0,92;;;;;;;
2020-04-04;0,90;0,89;;;;;;;
2020-04-05;0,87;0,86;;;;;;;
2020-04-06;0,84;0,84;;;;;;;
2020-04-07;0,81;0,81;;;;;;;
2020-04-08;0,77;0,77;;;;;;;
2020-04-09;0,73;0,73;;;;;;;
2020-04-10;0,68;0,69;;;;;;;
2020-04-11;0,64;0,65;;;;;;;
2020-04-12;0,59;0,60;;;;;;;
2020-04-13;0,55;0,55;;;;;;;
2020-04-14;0,50;0,51;;;;;;;
2020-04-15;0,47;0,47;;;;;;;
2020-04-16;0,45;0,45;;;;;;;
2020-04-17;0,44;0,43;;;;;;;
2020-04-18;0,42;0,42;;;;;;;
2020-04-19;0,41;0,40;;;;;;;
2020-04-20;0,41;0,39;;;;;;;
2020-04-21;0,42;0,39;;;;;;;
2020-04-22;0,44;0,41;;;;;;;
2020-04-23;0,47;0,44;;;;;;;
2020-04-24;0,49;0,46;;;;;;;
2020-04-25;0,52;0,49;;;;;;;
2020-04-26;0,56;0,54;;;;;;;
2020-04-27;0,60;0,58;;;;;;;
2020-04-28;0,62;0,60;;;;;;;
2020-04-29;0,61;0,60;;;;;;;
2020-04-30;0,59;0,59;;;;;;;
2020-05-01;0,58;0,57;;;;;;;
2020-05-02;0,55;0,54;;;;;;;
2020-05-03;0,51;0,51;;;;;;;
2020-05-04;0,48;0,49;;;;;;;
2020-05-05;0,47;0,48;;;;;;;
2020-05-06;0,45;0,48;;;;;;;
2020-05-07;0,43;0,46;;;;;;;
2020-05-08;0,44;0,47;;;;;;;
2020-05-09;0,44;0,48;;;;;;;
2020-05-10;0,45;0,49;;;;;;;
2020-05-11;0,44;0,48;;;;;;;
2020-05-12;0,46;0,48;;;;;;;
2020-05-13;0,47;0,47;;;;;;;
2020-05-14;0,49;0,47;;;;;;;
2020-05-15;0,49;0,45;;;;;;;
2020-05-16;0,50;0,45;;;;;;;
2020-05-17;0,53;0,51;;;;;;;
2020-05-18;0,57;0,55;;;;;;;
2020-05-19;0,59;0,62;;;;;;;
2020-05-20;0,58;0,65;;;;;;;
2020-05-21;0,57;0,67;;;;;;;
2020-05-22;0,50;0,66;;;;;;;
2020-05-23;0,45;0,66;;;;;;;
2020-05-24;0,41;0,65;;;;;;;
2020-05-25;0,37;0,62;;;;;;;
2020-05-26;0,27;0,59;;;;;;;
2020-05-27;0,21;0,57;;;;;;;
2020-05-28;0,19;0,57;;;;;;;
2020-05-29;0,17;0,55;;;;;;;
2020-05-30;0,18;0,52;;;;;;;
2020-05-31;NA;NA;;;;;;;
2020-06-01;NA;NA;;;;;;;
2020-06-02;NA;NA;;;;;;;
2020-06-03;NA;NA;;;;;;;
2020-06-04;NA;NA;;;;;;;
2020-06-05;NA;NA;;;;;;;
2020-06-06;NA;NA;;;;;;;
2020-06-07;NA;NA;;;;;;;
2020-06-08;NA;NA;;;;;;;
2020-06-09;NA;NA;;;;;;;
2020-06-10;NA;NA;;;;;;;
2020-06-11;NA;NA;;;;;;;
2020-06-12;NA;NA;;;;;;;
2020-06-13;NA;NA;;;;;;;
2020-06-14;NA;NA;;;;;;;
2020-06-15;NA;NA;;;;;;;
2020-06-16;NA;NA;;;;;;;
2020-06-17;2,61;2,57;;;;;;;
2020-06-18;2,56;2,45;;;;;;;
2020-06-19;2,49;2,33;;;;;;;
2020-06-20;2,34;2,15;;;;;;;
2020-06-21;2,09;1,90;;;;;;;
2020-06-22;1,95;1,75;;;;;;;
2020-06-23;1,75;1,55;;;;;;;
2020-06-24;1,61;1,42;;;;;;;
2020-06-25;1,48;1,30;;;;;;;
2020-06-26;1,33;1,17;;;;;;;
2020-06-27;1,19;1,04;;;;;;;
2020-06-28;1,08;0,90;;;;;;;
2020-06-29;0,98;0,80;;;;;;;
2020-06-30;0,88;0,71;;;;;;;
2020-07-01;0,79;0,64;;;;;;;
2020-07-02;0,68;0,56;;;;;;;
2020-07-03;0,55;0,45;;;;;;;
2020-07-04;0,42;0,30;;;;;;;
2020-07-05;0,33;0,22;;;;;;;
2020-07-06;0,27;0,16;;;;;;;
2020-07-07;0,28;0,14;;;;;;;
2020-07-08;0,27;NA;;;;;;;
2020-07-09;0,27;NA;;;;;;;
2020-07-10;0,35;NA;;;;;;;
2020-07-11;0,53;NA;;;;;;;
2020-07-12;0,71;NA;;;;;;;
2020-07-13;0,95;NA;;;;;;;
2020-07-14;1,26;NA;;;;;;;
2020-07-15;1,57;NA;;;;;;;
2020-07-16;1,85;NA;;;;;;;
2020-07-17;1,98;NA;;;;;;;
2020-07-18;1,95;NA;;;;;;;
2020-07-19;1,88;NA;;;;;;;
2020-07-20;1,76;NA;;;;;;;
2020-07-21;1,67;NA;;;;;;;
2020-07-22;1,45;NA;;;;;;;
2020-07-23;1,21;NA;;;;;;;
2020-07-24;1,01;1,22;;;;;;;
2020-07-25;0,76;0,96;;;;;;;
2020-07-26;0,57;0,74;;;;;;;
