Settimana del;Positivi;Sintomatici;;;;;;;
2020-07-27;0,44;0,60;;;;;;;
2020-07-28;0,29;0,44;;;;;;;
2020-07-29;0,20;0,32;;;;;;;
2020-07-30;0,20;0,25;;;;;;;
2020-07-31;0,23;0,21;;;;;;;
2020-08-01;0,31;0,25;;;;;;;
2020-08-02;0,43;0,32;;;;;;;
2020-08-03;0,66;0,51;;;;;;;
2020-08-04;0,97;0,81;;;;;;;
2020-08-05;1,37;1,19;;;;;;;
2020-08-06;1,87;1,70;;;;;;;
2020-08-07;2,39;2,29;;;;;;;
2020-08-08;2,75;2,76;;;;;;;
2020-08-09;3,07;3,21;;;;;;;
2020-08-10;3,29;3,58;;;;;;;
2020-08-11;3,19;3,61;;;;;;;
2020-08-12;3,04;3,59;;;;;;;
2020-08-13;2,98;3,39;;;;;;;
2020-08-14;2,80;3,03;;;;;;;
2020-08-15;2,65;2,79;;;;;;;
2020-08-16;2,41;2,44;;;;;;;
2020-08-17;2,24;2,22;;;;;;;
2020-08-18;2,09;2,04;;;;;;;
2020-08-19;1,91;1,85;;;;;;;
2020-08-20;1,74;1,68;;;;;;;
2020-08-21;1,57;1,50;;;;;;;
2020-08-22;1,48;1,42;;;;;;;
2020-08-23;1,39;1,35;;;;;;;
2020-08-24;1,30;1,27;;;;;;;
2020-08-25;1,22;1,20;;;;;;;
2020-08-26;1,15;1,15;;;;;;;
2020-08-27;1,11;1,11;;;;;;;
2020-08-28;1,08;1,09;;;;;;;
2020-08-29;1,08;1,07;;;;;;;
2020-08-30;1,10;1,07;;;;;;;
2020-08-31;1,11;1,07;;;;;;;
2020-09-01;1,12;1,08;;;;;;;
2020-09-02;1,13;1,08;;;;;;;
2020-09-03;1,14;1,09;;;;;;;
2020-09-04;1,14;1,09;;;;;;;
2020-09-05;1,15;1,10;;;;;;;
2020-09-06;1,16;1,11;;;;;;;
2020-09-07;1,17;1,13;;;;;;;
2020-09-08;1,18;1,15;;;;;;;
2020-09-09;1,16;1,14;;;;;;;
2020-09-10;1,14;1,15;;;;;;;
2020-09-11;1,13;1,16;;;;;;;
2020-09-12;1,13;1,17;;;;;;;
2020-09-13;1,12;1,17;;;;;;;
2020-09-14;1,12;1,19;;;;;;;
2020-09-15;1,13;1,21;;;;;;;
2020-09-16;1,14;1,23;;;;;;;
2020-09-17;1,15;1,23;;;;;;;
2020-09-18;1,16;1,24;;;;;;;
2020-09-19;1,16;1,22;;;;;;;
2020-09-20;1,15;1,19;;;;;;;
2020-09-21;1,13;1,15;;;;;;;
2020-09-22;1,11;1,11;;;;;;;
2020-09-23;1,10;1,08;;;;;;;
2020-09-24;1,09;1,05;;;;;;;
2020-09-25;1,07;1,02;;;;;;;
2020-09-26;1,04;0,99;;;;;;;
2020-09-27;0,99;0,95;;;;;;;
2020-09-28;0,96;0,93;;;;;;;
2020-09-29;0,92;0,91;;;;;;;
2020-09-30;0,91;0,91;;;;;;;
2020-10-01;0,91;0,92;;;;;;;
2020-10-02;0,93;0,97;;;;;;;
2020-10-03;0,96;1,01;;;;;;;
2020-10-04;0,99;1,06;;;;;;;
2020-10-05;1,04;1,13;;;;;;;
2020-10-06;1,10;1,20;;;;;;;
2020-10-07;1,17;1,28;;;;;;;
2020-10-08;1,25;1,36;;;;;;;
2020-10-09;1,30;1,40;;;;;;;
2020-10-10;1,40;1,47;;;;;;;
2020-10-11;1,53;1,54;;;;;;;
2020-10-12;1,65;1,59;;;;;;;
2020-10-13;1,74;1,63;;;;;;;
2020-10-14;1,82;1,66;;;;;;;
2020-10-15;1,90;1,70;;;;;;;
2020-10-16;1,96;1,71;;;;;;;
2020-10-17;1,99;1,73;;;;;;;
2020-10-18;2,01;1,74;;;;;;;
2020-10-19;2,02;1,76;;;;;;;
2020-10-20;2,01;1,77;;;;;;;
2020-10-21;1,99;1,79;;;;;;;
2020-10-22;1,95;1,80;;;;;;;
2020-10-23;1,88;1,79;;;;;;;
2020-10-24;1,83;1,78;;;;;;;
2020-10-25;1,81;1,77;;;;;;;
2020-10-26;1,79;1,77;;;;;;;
2020-10-27;1,75;1,76;;;;;;;
2020-10-28;1,71;1,75;;;;;;;
2020-10-29;1,66;1,73;;;;;;;
2020-10-30;1,59;1,69;;;;;;;
2020-10-31;1,53;1,65;;;;;;;
2020-11-01;1,47;1,61;;;;;;;
2020-11-02;1,42;1,57;;;;;;;
2020-11-03;1,37;1,54;;;;;;;
2020-11-04;1,33;1,50;;;;;;;
2020-11-05;1,31;1,48;;;;;;;
2020-11-06;1,30;1,47;;;;;;;
2020-11-07;1,29;1,46;;;;;;;
2020-11-08;1,28;1,45;;;;;;;
2020-11-09;1,28;1,44;;;;;;;
2020-11-10;1,28;1,43;;;;;;;
2020-11-11;1,29;1,42;;;;;;;
2020-11-12;1,29;1,40;;;;;;;
2020-11-13;1,30;1,39;;;;;;;
2020-11-14;1,30;1,36;;;;;;;
2020-11-15;1,29;1,34;;;;;;;
2020-11-16;1,28;1,31;;;;;;;
2020-11-17;1,26;1,27;;;;;;;
2020-11-18;1,24;1,23;;;;;;;
2020-11-19;1,21;1,20;;;;;;;
2020-11-20;1,17;1,16;;;;;;;
2020-11-21;1,13;1,11;;;;;;;
2020-11-22;1,08;1,06;;;;;;;
2020-11-23;1,03;1,01;;;;;;;
2020-11-24;0,97;0,96;;;;;;;
2020-11-25;0,92;0,91;;;;;;;
2020-11-26;0,87;0,87;;;;;;;
2020-11-27;0,83;0,83;;;;;;;
2020-11-28;0,79;0,79;;;;;;;
2020-11-29;0,76;0,76;;;;;;;
2020-11-30;0,73;0,73;;;;;;;
2020-12-01;0,71;0,71;;;;;;;
2020-12-02;0,69;0,69;;;;;;;
2020-12-03;0,68;0,68;;;;;;;
2020-12-04;0,67;0,67;;;;;;;
2020-12-05;0,67;0,66;;;;;;;
2020-12-06;0,68;0,67;;;;;;;
2020-12-07;0,70;0,69;;;;;;;
2020-12-08;0,72;0,70;;;;;;;
2020-12-09;0,73;0,71;;;;;;;
2020-12-10;0,76;0,74;;;;;;;
2020-12-11;0,79;0,76;;;;;;;
2020-12-12;0,81;0,79;;;;;;;
2020-12-13;0,84;0,83;;;;;;;
2020-12-14;0,87;0,86;;;;;;;
2020-12-15;0,91;0,91;;;;;;;
2020-12-16;0,93;0,94;;;;;;;
2020-12-17;0,96;0,97;;;;;;;
2020-12-18;0,98;0,99;;;;;;;
2020-12-19;1,00;1,01;;;;;;;
2020-12-20;1,03;1,04;;;;;;;
2020-12-21;1,05;1,07;;;;;;;
2020-12-22;1,07;1,09;;;;;;;
2020-12-23;1,09;1,11;;;;;;;
2020-12-24;1,11;1,12;;;;;;;
2020-12-25;1,13;1,13;;;;;;;
2020-12-26;1,14;1,14;;;;;;;
2020-12-27;1,15;1,15;;;;;;;
2020-12-28;1,17;1,16;;;;;;;
2020-12-29;1,18;1,17;;;;;;;
2020-12-30;1,18;1,17;;;;;;;
2020-12-31;1,18;1,17;;;;;;;
2021-01-01;1,18;1,16;;;;;;;
2021-01-02;1,18;1,16;;;;;;;
2021-01-03;1,17;1,15;;;;;;;
2021-01-04;1,16;1,14;;;;;;;
2021-01-05;1,16;1,14;;;;;;;
2021-01-06;1,15;1,14;;;;;;;
2021-01-07;1,14;1,13;;;;;;;
2021-01-08;1,13;1,13;;;;;;;
2021-01-09;1,11;1,11;;;;;;;
2021-01-10;1,10;1,10;;;;;;;
2021-01-11;1,08;1,09;;;;;;;
2021-01-12;1,06;1,07;;;;;;;
2021-01-13;1,04;1,05;;;;;;;
2021-01-14;1,02;1,02;;;;;;;
2021-01-15;0,99;0,99;;;;;;;
2021-01-16;0,97;0,97;;;;;;;
2021-01-17;0,95;0,94;;;;;;;
2021-01-18;0,93;0,91;;;;;;;
2021-01-19;0,91;0,89;;;;;;;
2021-01-20;0,89;0,87;;;;;;;
2021-01-21;0,87;0,84;;;;;;;
2021-01-22;0,86;0,83;;;;;;;
2021-01-23;0,85;0,81;;;;;;;
2021-01-24;0,84;0,81;;;;;;;
2021-01-25;0,83;0,80;;;;;;;
2021-01-26;0,83;0,80;;;;;;;
2021-01-27;0,82;0,80;;;;;;;
2021-01-28;0,82;0,80;;;;;;;
2021-01-29;0,82;0,81;;;;;;;
2021-01-30;0,82;0,82;;;;;;;
2021-01-31;0,83;0,83;;;;;;;
2021-02-01;0,84;0,84;;;;;;;
2021-02-02;0,84;0,84;;;;;;;
2021-02-03;0,84;0,84;;;;;;;
2021-02-04;0,83;0,84;;;;;;;
2021-02-05;0,83;0,84;;;;;;;
2021-02-06;0,83;0,84;;;;;;;
2021-02-07;0,83;0,84;;;;;;;
2021-02-08;0,83;0,84;;;;;;;
2021-02-09;0,84;0,85;;;;;;;
2021-02-10;0,84;0,85;;;;;;;
2021-02-11;0,85;0,86;;;;;;;
2021-02-12;0,85;0,86;;;;;;;
2021-02-13;0,85;0,87;;;;;;;
2021-02-14;0,85;0,88;;;;;;;
2021-02-15;0,86;0,89;;;;;;;
2021-02-16;0,87;0,90;;;;;;;
2021-02-17;0,87;0,90;;;;;;;
2021-02-18;0,87;0,91;;;;;;;
2021-02-19;0,88;0,91;;;;;;;
2021-02-20;0,89;0,92;;;;;;;
2021-02-21;0,88;0,91;;;;;;;
2021-02-22;0,87;0,89;;;;;;;
2021-02-23;0,86;0,88;;;;;;;
2021-02-24;0,86;0,87;;;;;;;
2021-02-25;0,87;0,88;;;;;;;
2021-02-26;0,87;0,88;;;;;;;
2021-02-27;0,88;0,88;;;;;;;
2021-02-28;0,89;0,89;;;;;;;
2021-03-01;0,91;0,91;;;;;;;
2021-03-02;0,94;0,95;;;;;;;
2021-03-03;0,99;1,00;;;;;;;
2021-03-04;1,05;1,05;;;;;;;
2021-03-05;1,10;1,10;;;;;;;
2021-03-06;1,16;1,16;;;;;;;
2021-03-07;1,22;1,22;;;;;;;
2021-03-08;1,28;1,27;;;;;;;
2021-03-09;1,34;1,32;;;;;;;
2021-03-10;1,39;1,36;;;;;;;
2021-03-11;1,44;1,41;;;;;;;
2021-03-12;1,49;1,45;;;;;;;
2021-03-13;1,53;1,48;;;;;;;
2021-03-14;1,54;1,50;;;;;;;
2021-03-15;1,55;1,50;;;;;;;
2021-03-16;1,54;1,50;;;;;;;
2021-03-17;1,53;1,49;;;;;;;
2021-03-18;1,51;1,47;;;;;;;
2021-03-19;1,47;1,45;;;;;;;
2021-03-20;1,43;1,41;;;;;;;
2021-03-21;1,38;1,37;;;;;;;
2021-03-22;1,34;1,34;;;;;;;
2021-03-23;1,30;1,31;;;;;;;
2021-03-24;1,26;1,27;;;;;;;
2021-03-25;1,23;1,24;;;;;;;
2021-03-26;1,20;1,21;;;;;;;
2021-03-27;1,17;1,18;;;;;;;
2021-03-28;1,14;1,15;;;;;;;
2021-03-29;1,11;1,13;;;;;;;
2021-03-30;1,08;1,10;;;;;;;
2021-03-31;1,06;1,07;;;;;;;
2021-04-01;1,04;1,05;;;;;;;
2021-04-02;1,02;1,03;;;;;;;
2021-04-03;1,00;1,02;;;;;;;
2021-04-04;0,99;1,00;;;;;;;
2021-04-05;0,98;0,99;;;;;;;
2021-04-06;0,97;0,99;;;;;;;
2021-04-07;0,97;0,99;;;;;;;
2021-04-08;0,97;0,99;;;;;;;
2021-04-09;0,97;0,98;;;;;;;
2021-04-10;0,96;0,98;;;;;;;
2021-04-11;0,96;0,98;;;;;;;
2021-04-12;0,95;0,97;;;;;;;
2021-04-13;0,94;0,96;;;;;;;
2021-04-14;0,93;0,94;;;;;;;
2021-04-15;0,92;0,93;;;;;;;
2021-04-16;0,91;0,92;;;;;;;
2021-04-17;0,89;0,90;;;;;;;
2021-04-18;0,88;0,89;;;;;;;
2021-04-19;0,87;0,87;;;;;;;
2021-04-20;0,85;0,85;;;;;;;
2021-04-21;0,84;0,84;;;;;;;
2021-04-22;0,83;0,83;;;;;;;
2021-04-23;0,82;0,82;;;;;;;
2021-04-24;0,82;0,83;;;;;;;
2021-04-25;0,83;0,84;;;;;;;
2021-04-26;0,84;0,84;;;;;;;
2021-04-27;0,85;0,86;;;;;;;
2021-04-28;0,87;0,87;;;;;;;
2021-04-29;0,88;0,89;;;;;;;
2021-04-30;0,89;0,91;;;;;;;
2021-05-01;0,90;0,93;;;;;;;
2021-05-02;0,91;0,94;;;;;;;
2021-05-03;0,92;0,94;;;;;;;
2021-05-04;0,91;0,94;;;;;;;
2021-05-05;0,90;0,93;;;;;;;
2021-05-06;0,88;0,91;;;;;;;
2021-05-07;0,86;0,89;;;;;;;
2021-05-08;0,84;0,86;;;;;;;
2021-05-09;0,82;0,84;;;;;;;
2021-05-10;0,80;0,82;;;;;;;
2021-05-11;0,79;0,80;;;;;;;
2021-05-12;0,78;0,79;;;;;;;
2021-05-13;0,78;0,78;;;;;;;
2021-05-14;0,78;0,78;;;;;;;
2021-05-15;0,79;0,78;;;;;;;
2021-05-16;0,80;0,78;;;;;;;
2021-05-17;0,82;0,79;;;;;;;
2021-05-18;0,83;0,80;;;;;;;
2021-05-19;0,84;0,80;;;;;;;
2021-05-20;0,84;0,80;;;;;;;
2021-05-21;0,84;0,80;;;;;;;
2021-05-22;0,83;0,79;;;;;;;
2021-05-23;0,82;0,78;;;;;;;
2021-05-24;0,80;0,77;;;;;;;
2021-05-25;0,79;0,76;;;;;;;
2021-05-26;0,77;0,75;;;;;;;
2021-05-27;0,75;0,74;;;;;;;
2021-05-28;0,73;0,73;;;;;;;
2021-05-29;0,72;0,72;;;;;;;
2021-05-30;0,71;0,71;;;;;;;
2021-05-31;0,70;0,71;;;;;;;
2021-06-01;0,71;0,71;;;;;;;
2021-06-02;0,71;0,71;;;;;;;
2021-06-03;0,71;0,72;;;;;;;
2021-06-04;0,72;0,73;;;;;;;
2021-06-05;0,73;0,73;;;;;;;
2021-06-06;0,74;0,75;;;;;;;
2021-06-07;0,74;0,74;;;;;;;
2021-06-08;0,75;0,75;;;;;;;
2021-06-09;0,75;0,74;;;;;;;
2021-06-10;0,73;0,73;;;;;;;
2021-06-11;0,72;0,71;;;;;;;
2021-06-12;0,71;0,70;;;;;;;
2021-06-13;0,70;0,70;;;;;;;
2021-06-14;0,70;0,69;;;;;;;
2021-06-15;0,69;0,68;;;;;;;
2021-06-16;0,68;0,68;;;;;;;
2021-06-17;0,68;0,68;;;;;;;
2021-06-18;0,68;0,69;;;;;;;
2021-06-19;0,68;0,69;;;;;;;
2021-06-20;0,68;0,69;;;;;;;
2021-06-21;0,67;0,69;;;;;;;
2021-06-22;0,67;0,69;;;;;;;
2021-06-23;0,68;0,70;;;;;;;
2021-06-24;0,68;0,70;;;;;;;
2021-06-25;0,67;;;;;;;;
