Settimana del;Positivi;Sintomatici
2020-01-28;NA;NA
2020-01-29;NA;NA
2020-01-30;NA;NA
2020-01-31;NA;NA
2020-02-01;NA;NA
2020-02-02;NA;NA
2020-02-03;NA;NA
2020-02-04;NA;NA
2020-02-05;NA;NA
2020-02-06;NA;NA
2020-02-07;NA;NA
2020-02-08;NA;NA
2020-02-09;NA;NA
2020-02-10;NA;NA
2020-02-11;NA;NA
2020-02-12;NA;NA
2020-02-13;NA;NA
2020-02-14;NA;NA
2020-02-15;NA;NA
2020-02-16;NA;NA
2020-02-17;NA;NA
2020-02-18;NA;NA
2020-02-19;NA;NA
2020-02-20;NA;NA
2020-02-21;NA;NA
2020-02-22;NA;NA
2020-02-23;2,18;2,23
2020-02-24;2,33;2,38
2020-02-25;2,47;2,51
2020-02-26;2,57;2,62
2020-02-27;2,65;2,68
2020-02-28;2,69;2,71
2020-02-29;2,71;2,73
2020-03-01;2,72;2,74
2020-03-02;2,72;2,73
2020-03-03;2,69;2,70
2020-03-04;2,62;2,61
2020-03-05;2,56;2,56
2020-03-06;2,50;2,49
2020-03-07;2,44;2,42
2020-03-08;2,37;2,35
2020-03-09;2,31;2,29
2020-03-10;2,27;2,25
2020-03-11;2,22;2,19
2020-03-12;2,15;2,13
2020-03-13;2,09;2,06
2020-03-14;2,01;1,98
2020-03-15;1,95;1,92
2020-03-16;1,89;1,86
2020-03-17;1,82;1,80
2020-03-18;1,75;1,73
2020-03-19;1,67;1,65
2020-03-20;1,60;1,58
2020-03-21;1,52;1,50
2020-03-22;1,44;1,42
2020-03-23;1,36;1,35
2020-03-24;1,29;1,28
2020-03-25;1,23;1,21
2020-03-26;1,16;1,15
2020-03-27;1,10;1,09
2020-03-28;1,05;1,03
2020-03-29;0,99;0,98
2020-03-30;0,95;0,93
2020-03-31;0,90;0,89
2020-04-01;0,87;0,85
2020-04-02;0,84;0,83
2020-04-03;0,82;0,80
2020-04-04;0,80;0,78
2020-04-05;0,79;0,77
2020-04-06;0,78;0,76
2020-04-07;0,77;0,75
2020-04-08;0,76;0,74
2020-04-09;0,76;0,74
2020-04-10;0,76;0,74
2020-04-11;0,77;0,74
2020-04-12;0,77;0,74
2020-04-13;0,76;0,74
2020-04-14;0,76;0,74
2020-04-15;0,76;0,75
2020-04-16;0,77;0,75
2020-04-17;0,76;0,75
2020-04-18;0,76;0,75
2020-04-19;0,76;0,76
2020-04-20;0,76;0,76
2020-04-21;0,76;0,76
2020-04-22;0,76;0,76
2020-04-23;0,75;0,77
2020-04-24;0,75;0,76
2020-04-25;0,75;0,76
2020-04-26;0,75;0,76
2020-04-27;0,75;0,76
2020-04-28;0,75;0,75
2020-04-29;0,74;0,74
2020-04-30;0,73;0,73
2020-05-01;0,72;0,71
2020-05-02;0,71;0,69
2020-05-03;0,70;0,68
2020-05-04;0,69;0,66
2020-05-05;0,68;0,65
2020-05-06;0,67;0,63
2020-05-07;0,66;0,62
2020-05-08;0,65;0,61
2020-05-09;0,64;0,60
2020-05-10;0,64;0,59
2020-05-11;0,64;0,59
2020-05-12;0,64;0,59
2020-05-13;0,63;0,59
2020-05-14;0,63;0,60
2020-05-15;0,63;0,60
2020-05-16;0,63;0,61
2020-05-17;0,64;0,62
2020-05-18;0,64;0,63
2020-05-19;0,64;0,64
2020-05-20;0,64;0,65
2020-05-21;0,65;0,66
2020-05-22;0,65;0,67
2020-05-23;0,65;0,68
2020-05-24;0,65;0,68
