variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;26.478;35,4;113;1,86
B.1.351;131;0,18;0;0
P.1;2.647;3,54;23;0,38
B.1.617.2;33.051;44,18;5737;94,47
C.37;18;0,02;0;0
B.1.621;83;0,11;0;0
B.1.529;4;0,01;4;0,07
B.1.640 ;12;0,02;12;0,2
B.1.525;460;0,61;0;0
B.1.617.1;19;0,03;0;0
B.1.617.3;0;0;0;0
P.2;3;0;0;0
Altro lignaggio;11896;15,9;184;3,03
