variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;27.928;34,6;4;0,1;13.945;35;2;0,1;13.983;34,3;2;0,1;27.585;4;343;0
B.1.1.7 + E484K;75;0,1;0;0;37;0,1;0;0;38;0,1;0;0;75;0;0;0
B.1.351;289;0,4;0;0;134;0,3;0;0;155;0,4;0;0;278;0;11;0
P.1;2.829;3,5;1;<0,1;1.383;3,5;1;<0,1;1.446;3,6;0;0;2.790;1;39;0
B.1.617.2;40.065;49,7;6.448;86,6;19.748;49,5;3.395;86,5;20.317;49,9;3.053;86,7;38.248;6.366;1.817;82
B.1.1.529 ;4;<0,1;4;0,1;3;<0,1;3;0,1;1;<0,1;1;<0,1;3;3;1;1
B.1.525;485;0,6;0;0;192;0,5;0;0;293;0,7;0;0;382;0;103;0
B.1.617.1;548;0,7;65;0,9;288;0,7;38;1;260;0,6;27;0,8;546;65;2;0
B.1.617.3;31;<0,1;1;<0,1;20;0,1;0;0;11;<0,1;1;<0,1;26;1;5;0
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Altro lignaggio/non indicato (f);8.347;10,4;924;12,4;4.132;10,4;485;12,4;4.215;10,4;439;12,5;8.094;885;253;39
;;;;;;;;;;;;;;;;
