Etichetta OMS;Lignaggio;Numero di sequenze;%
Alfa;B.1.1.7;20.045;71,69
Beta;B.1.351;38;0,14
Gamma;P.1;399;1,43
Zeta;P.2;3;0,01
Eta;B.1.525;346;1,24
NDa;B.1.1.7 + E484K;14;0,05
Kappa/Delta;B.1.617.1/2b;263;0,94
NDa;P.1.1;950;3,4
NDa;Altro lignaggio;5.903;21,11
Totale;;27.961;100
