Giorno;Operatori_sanitari;Altri;Operatori_sanitari_non_consolidati;Altri_non_consolidati
18/10/20;21;858;;
19/10/20;39;1036;;
20/10/20;30;1129;;
21/10/20;37;1151;;
22/10/20;42;1258;;
23/10/20;32;1403;;
24/10/20;41;1324;;
25/10/20;48;1323;;
26/10/20;41;1640;;
27/10/20;63;1566;;
28/10/20;52;1631;;
29/10/20;55;1627;;
30/10/20;47;1692;;
31/10/20;35;1586;;
01/11/20;42;1468;;
02/11/20;45;1874;;
03/11/20;55;1875;;
04/11/20;42;1986;;
05/11/20;62;1978;;
06/11/20;54;1977;;
07/11/20;47;1861;;
08/11/20;54;1679;;
09/11/20;45;1937;;
10/11/20;40;1919;;
11/11/20;45;1999;;
12/11/20;45;1906;;
13/11/20;43;1894;;
14/11/20;44;1709;;
15/11/20;44;1478;;
16/11/20;66;1850;;
17/11/20;54;1814;;
18/11/20;35;1722;;
19/11/20;42;1727;;
20/11/20;29;1635;;
21/11/20;33;1336;;
22/11/20;25;1140;;
23/11/20;40;1538;;
24/11/20;46;1456;;
25/11/20;35;1369;;
26/11/20;40;1293;;
27/11/20;30;1330;;
28/11/20;38;1180;;
29/11/20;31;1014;;
30/11/20;32;1201;;
01/12/20;24;1217;;
02/12/20;27;1215;;
03/12/20;27;1199;;
04/12/20;36;1143;;
05/12/20;25;1038;;
06/12/20;32;940;;
07/12/20;38;1029;;
08/12/20;42;968;;
09/12/20;42;1055;;
10/12/20;20;1049;;
11/12/20;30;1088;;
12/12/20;27;959;;
13/12/20;26;751;;
14/12/20;25;993;;
15/12/20;27;953;;
16/12/20;32;900;;
17/12/20;20;973;;
18/12/20;34;905;;
19/12/20;31;848;;
20/12/20;12;763;;
21/12/20;26;978;;
22/12/20;23;946;;
23/12/20;32;927;;
24/12/20;25;905;;
25/12/20;16;759;;
26/12/20;28;839;;
27/12/20;26;901;;
28/12/20;27;965;;
29/12/20;34;1008;;
30/12/20;23;953;;
31/12/20;30;972;;
01/01/21;19;855;;
02/01/21;25;1011;;
03/01/21;22;873;;
04/01/21;26;1072;;
05/01/21;21;1072;;
06/01/21;29;846;;
07/01/21;27;1053;;
08/01/21;27;1058;;
09/01/21;33;880;;
10/01/21;34;799;;
11/01/21;25;936;;
12/01/21;28;875;;
13/01/21;26;894;;
14/01/21;18;913;;
15/01/21;20;861;;
16/01/21;27;810;;
17/01/21;25;633;;
18/01/21;21;809;;
19/01/21;22;760;;
20/01/21;30;705;;
21/01/21;22;793;;
22/01/21;11;744;;
23/01/21;15;704;;
24/01/21;10;580;;
25/01/21;16;807;;
26/01/21;18;693;;
27/01/21;8;662;;
28/01/21;11;674;;
29/01/21;11;740;;
30/01/21;11;646;;
31/01/21;7;573;;
01/02/21;13;730;;
02/02/21;8;667;;
03/02/21;7;694;;
04/02/21;11;631;;
05/02/21;8;686;;
06/02/21;14;587;;
07/02/21;4;592;;
08/02/21;11;716;;
09/02/21;7;673;;
10/02/21;11;683;;
11/02/21;13;676;;
12/02/21;9;676;;
13/02/21;7;564;;
14/02/21;6;527;;
15/02/21;8;695;;
16/02/21;7;657;;
17/02/21;3;753;;
18/02/21;9;762;;
19/02/21;12;756;;
20/02/21;7;704;;
21/02/21;12;713;;
22/02/21;13;903;;
23/02/21;6;933;;
24/02/21;5;915;;
25/02/21;3;918;;
26/02/21;3;1042;;
27/02/21;6;986;;
28/02/21;4;890;;
01/03/21;9;1165;;
02/03/21;3;1316;;
03/03/21;9;1251;;
04/03/21;8;1231;;
05/03/21;4;1329;;
06/03/21;11;1263;;
07/03/21;8;1092;;
08/03/21;13;1477;;
09/03/21;7;1440;;
10/03/21;8;1425;;
11/03/21;9;1334;;
12/03/21;12;1487;;
13/03/21;6;1426;;
14/03/21;5;1267;;
15/03/21;4;1591;;
16/03/21;9;1584;;
17/03/21;9;1462;;
18/03/21;4;1414;;
19/03/21;6;1465;;
20/03/21;5;1405;;
21/03/21;5;1242;;
22/03/21;9;1476;;
23/03/21;6;1409;;
24/03/21;12;1379;;
25/03/21;10;1372;;
26/03/21;8;1433;;
27/03/21;5;1243;;
28/03/21;8;1048;;
29/03/21;10;1395;;
30/03/21;9;1301;;
31/03/21;8;1229;;
01/04/21;16;1267;;
02/04/21;5;1307;;
03/04/21;9;1118;;
04/04/21;7;912;;
05/04/21;7;968;;
06/04/21;7;1136;;
07/04/21;3;992;;
08/04/21;9;931;;
09/04/21;9;933;;
10/04/21;6;839;;
11/04/21;4;727;;
12/04/21;5;803;;
13/04/21;3;822;;
14/04/21;7;732;;
15/04/21;5;745;;
16/04/21;8;675;;
17/04/21;6;639;;
18/04/21;7;672;;
19/04/21;3;704;;
20/04/21;5;705;;
21/04/21;8;723;;
22/04/21;4;623;;
23/04/21;3;660;;
24/04/21;7;614;;
25/04/21;4;547;;
26/04/21;3;651;;
27/04/21;4;587;;
28/04/21;5;623;;
29/04/21;1;562;;
30/04/21;3;571;;
01/05/21;0;495;;
02/05/21;4;424;;
03/05/21;4;532;;
04/05/21;5;523;;
05/05/21;3;476;;
06/05/21;8;437;;
07/05/21;4;430;;
08/05/21;2;384;;
09/05/21;5;284;;
10/05/21;6;376;;
11/05/21;3;333;;
12/05/21;2;343;;
13/05/21;2;336;;
14/05/21;2;300;;
15/05/21;1;260;;
16/05/21;2;241;;
17/05/21;2;287;;
18/05/21;0;221;;
19/05/21;1;232;;
20/05/21;1;235;;
21/05/21;0;200;;
22/05/21;0;182;;
23/05/21;2;174;;
24/05/21;2;183;;
25/05/21;2;145;;
26/05/21;2;182;;
27/05/21;1;127;;
28/05/21;1;176;;
29/05/21;0;145;;
30/05/21;1;122;;
31/05/21;1;136;;
01/06/21;1;123;;
02/06/21;0;100;;
03/06/21;1;100;;
04/06/21;1;111;;
05/06/21;0;84;;
06/06/21;1;99;;
07/06/21;1;101;;
08/06/21;0;93;;
09/06/21;1;77;;
10/06/21;0;91;;
11/06/21;1;65;;
12/06/21;0;72;;
13/06/21;1;71;;
14/06/21;1;61;;
15/06/21;0;79;;
16/06/21;1;61;;
17/06/21;0;57;;
18/06/21;2;61;;
19/06/21;0;36;;
20/06/21;1;42;;
21/06/21;0;50;;
22/06/21;0;60;;
23/06/21;0;38;;
24/06/21;1;56;;
25/06/21;1;37;;
26/06/21;0;42;;
27/06/21;0;33;;
28/06/21;0;47;;
29/06/21;1;44;;
30/06/21;0;27;;
01/07/21;0;46;;
02/07/21;0;35;;
03/07/21;0;36;;
04/07/21;0;39;;
05/07/21;0;36;;
06/07/21;0;39;;
07/07/21;1;46;;
08/07/21;0;53;;
09/07/21;0;44;;
10/07/21;1;38;;
11/07/21;1;46;;
12/07/21;0;51;;
13/07/21;0;67;;
14/07/21;0;53;;
15/07/21;0;65;;
16/07/21;1;68;;
17/07/21;2;79;;
18/07/21;2;74;;
19/07/21;1;94;;
20/07/21;0;105;;
21/07/21;4;95;;
22/07/21;1;110;;
23/07/21;4;97;;
24/07/21;0;105;;
25/07/21;2;126;;
26/07/21;2;116;;
27/07/21;1;131;;
28/07/21;0;156;;
29/07/21;1;126;;
30/07/21;2;157;;
31/07/21;1;149;;
01/08/21;2;117;;
02/08/21;1;154;;
03/08/21;3;175;;
04/08/21;2;170;;
05/08/21;3;135;;
06/08/21;0;153;;
07/08/21;3;146;;
08/08/21;;;2;135
09/08/21;;;2;171
10/08/21;;;1;152
11/08/21;;;1;161
12/08/21;;;2;166
13/08/21;;;1;157
14/08/21;;;3;139
15/08/21;;;2;143
16/08/21;;;2;170
17/08/21;;;4;121
18/08/21;;;1;163
19/08/21;;;0;109
20/08/21;;;1;96
21/08/21;;;1;51
22/08/21;;;;4
