regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B-1-1-529;n_BA-1;n_BA-2;n_BA-3;n_BA-4;n_BA-5;n_XJ;n_XM;n_XN;n_XQ;n_XT;percent_B-1-1-529;percent_BA-1;percent_BA-2;percent_BA-3;percent_BA-4;percent_BA-5;percent_XJ;percent_XM;percent_XN;percent_XQ;percent_XT
Abruzzo;2;2273;64;0;2;62;0;0;0;0;0;0;0;0;0;3,13;96,88;0;0;0;0;0;0;0;0
Basilicata;2;175;14;0;0;14;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
Calabria;4;2284;38;0;0;34;0;1;0;0;0;0;0;0;0;0;97,14;0;2,86;0;0;0;0;0;0
Campania;3;584;130;0;8;120;0;0;0;0;0;0;0;0;0;6,25;93,75;0;0;0;0;0;0;0;0
Emilia-Romagna;3;177;177;0;3;164;0;7;0;0;0;0;0;0;0;1,72;94,25;0;4,02;0;0;0;0;0;0
Friuli-Venezia Giulia;7;119;68;0;0;67;0;0;0;0;0;0;0;1;0;0;98,53;0;0;0;0;0;0;0;1,47
Lazio;1;109;109;0;3;104;1;0;1;0;0;0;0;0;0;2,75;95,41;0,92;0;0,92;0;0;0;0;0
Liguria;7;1638;46;0;1;44;0;0;0;0;0;0;0;0;0;2,22;97,78;0;0;0;0;0;0;0;0
Lombardia;16;317;315;4;11;292;0;3;0;0;1;3;0;0;1,27;3,5;92,99;0;0,96;0;0;0,32;0,96;0;0
Marche;5;64;64;0;1;62;0;0;0;0;0;0;0;0;0;1,59;98,41;0;0;0;0;0;0;0;0
Molise;1;22;22;0;0;17;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
P.A. Bolzano;1;23;15;0;0;15;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
P.A. Trento;1;17;17;0;0;15;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
Piemonte;11;109;109;0;1;89;0;0;0;0;0;0;0;0;0;1,11;98,89;0;0;0;0;0;0;0;0
Puglia;10;63;62;0;4;56;0;0;2;0;0;0;0;0;0;6,45;90,32;0;0;3,23;0;0;0;0;0
Sardegna;10;939;61;0;0;40;0;0;0;12;9;0;0;0;0;0;65,57;0;0;0;19,67;14,75;0;0;0
Sicilia;6;102;102;0;11;73;0;0;0;0;0;0;1;0;0;12,94;85,88;0;0;0;0;0;0;1,18;0
Toscana;3;200;97;0;1;95;0;1;0;0;0;0;0;0;0;1,03;97,94;0;1,03;0;0;0;0;0;0
Umbria;4;416;54;0;1;50;0;0;3;0;0;0;0;0;0;1,85;92,59;0;0;5,56;0;0;0;0;0
Valle d'Aosta;1;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
Veneto;14;233;233;0;2;230;0;0;0;0;1;0;0;0;0;0,86;98,71;0;0;0;0;0,43;0;0;0
ITALIA;112;9866;1799;4;49;1645;1;12;6;12;11;3;1;1;0,2;3,52;93,83;0,07;0,47;0,41;0,66;0,59;0,15;0,09;0,03
