Macroarea;Casi notificati al 13/05/2021;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;192;138
Nord-Ovest;337;198
Centro;290;180
Sud e Isole;581;261
TOTALE;1.400;777
