Ripartizione;media 2015-2019;2020;2021;2022*
Nord;31.620;28.282;35769;34491
Centro;13.829;12.494;14670;14095
Mezzogiorno;22.876;21.243;24111;25873
Italia;68.324;62.019;74550;74458
;;;;
*Stima;;;;
