Data;Ciclo istruzione;Docenti positivi;Docenti in quarantena;ATA positivi;ATA in quarantena
19/02/22;1 ciclo;3,56%;1,10%;4,11%;1,50%
19/02/22;2 ciclo;3,09%;0,93%;3,79%;1,29%
19/02/22;Totale;3,40%;1,04%;3,99%;1,42%
