Data;0-39;40-59;60-79;80-89;>= 90
20/02/20;20,00%;0;20,00%;60,00%;0
21/02/20;0;50,00%;50,00%;0;0
22/02/20;0;33,33%;66,67%;0;0
23/02/20;0;0;100,00%;0;0
24/02/20;0;10,00%;80,00%;10,00%;0
25/02/20;2,17%;15,22%;63,04%;17,39%;2,17%
26/02/20;5,26%;21,05%;57,89%;15,79%;0
27/02/20;0;15,38%;69,23%;15,38%;0
28/02/20;0;12,50%;75,00%;12,50%;0
29/02/20;0;29,17%;60,42%;8,33%;2,08%
01/03/20;3,51%;21,05%;59,65%;15,79%;0
02/03/20;6,49%;24,68%;61,04%;7,79%;0
03/03/20;2,13%;23,40%;64,89%;8,51%;1,06%
04/03/20;1,89%;28,30%;64,15%;5,66%;0
05/03/20;1,83%;33,94%;57,80%;6,42%;0
06/03/20;3,50%;27,97%;59,44%;8,39%;0,70%
07/03/20;0,78%;27,34%;69,53%;1,56%;0,78%
08/03/20;0,84%;29,41%;62,18%;7,56%;0
09/03/20;5,73%;31,21%;57,32%;5,10%;0,64%
10/03/20;5,13%;25,64%;64,74%;4,49%;0
11/03/20;3,66%;28,80%;62,83%;4,19%;0,52%
12/03/20;5,05%;21,72%;66,16%;6,57%;0,51%
13/03/20;3,66%;25,20%;65,85%;5,28%;0
14/03/20;2,64%;28,63%;62,56%;6,17%;0
15/03/20;2,34%;32,24%;58,88%;6,54%;0
16/03/20;2,94%;34,45%;59,66%;2,94%;0
17/03/20;3,15%;31,47%;60,49%;4,90%;0
18/03/20;2,59%;31,72%;61,17%;3,88%;0,65%
19/03/20;2,55%;32,85%;59,49%;4,38%;0,73%
20/03/20;3,13%;34,03%;58,68%;4,17%;0
21/03/20;2,81%;31,73%;58,23%;7,23%;0
22/03/20;4,73%;32,43%;57,09%;5,41%;0,34%
23/03/20;2,46%;32,31%;58,46%;6,46%;0,31%
24/03/20;1,95%;31,92%;59,28%;5,86%;0,98%
25/03/20;1,47%;34,81%;56,05%;7,08%;0,59%
26/03/20;3,27%;33,47%;55,10%;7,35%;0,82%
27/03/20;2,27%;34,85%;55,68%;7,20%;0
28/03/20;3,50%;22,00%;67,00%;7,00%;0,50%
29/03/20;3,57%;31,12%;59,18%;6,12%;0
30/03/20;4,04%;25,11%;64,13%;5,83%;0,90%
31/03/20;2,11%;26,32%;63,16%;7,89%;0,53%
01/04/20;3,13%;23,96%;64,06%;8,85%;0
02/04/20;1,59%;26,46%;61,90%;10,05%;0
03/04/20;0;28,08%;63,01%;8,22%;0,68%
04/04/20;1,61%;21,77%;66,13%;10,48%;0
05/04/20;4,04%;27,27%;62,63%;6,06%;0
06/04/20;2,38%;24,60%;61,90%;10,32%;0,79%
07/04/20;1,45%;21,01%;53,62%;16,67%;7,25%
08/04/20;2,84%;15,60%;63,83%;15,60%;2,13%
09/04/20;1,30%;25,97%;47,40%;20,78%;4,55%
10/04/20;0;15,32%;63,96%;18,92%;1,80%
11/04/20;5,68%;22,73%;53,41%;15,91%;2,27%
12/04/20;2,94%;20,59%;55,88%;16,18%;4,41%
13/04/20;1,82%;7,27%;76,36%;14,55%;0
14/04/20;2,53%;20,25%;54,43%;20,25%;2,53%
15/04/20;3,70%;16,05%;54,32%;22,22%;3,70%
16/04/20;2,78%;23,61%;56,94%;16,67%;0
17/04/20;2,27%;11,36%;65,91%;14,77%;5,68%
18/04/20;4,76%;15,48%;47,62%;25,00%;7,14%
19/04/20;2,35%;14,12%;45,88%;31,76%;5,88%
20/04/20;4,21%;12,63%;43,16%;30,53%;9,47%
