Data;0-39;40-59;60-79;80-89;>= 90
13/06/21;0;16,00%;52,00%;20,00%;12,00%
14/06/21;5,41%;13,51%;45,95%;21,62%;13,51%
15/06/21;6,67%;3,33%;43,33%;23,33%;23,33%
16/06/21;0;11,11%;50,00%;30,56%;8,33%
17/06/21;0;16,67%;26,67%;33,33%;23,33%
18/06/21;0;8,70%;60,87%;8,70%;21,74%
19/06/21;0;16,67%;50,00%;33,33%;0
20/06/21;0;0;62,50%;20,83%;16,67%
21/06/21;0;5,56%;33,33%;50,00%;11,11%
22/06/21;0;12,00%;48,00%;32,00%;8,00%
23/06/21;0;20,83%;41,67%;29,17%;8,33%
24/06/21;0;4,76%;71,43%;14,29%;9,52%
25/06/21;0;9,09%;63,64%;18,18%;9,09%
26/06/21;0;5,00%;40,00%;40,00%;15,00%
27/06/21;0;25,00%;50,00%;8,33%;16,67%
28/06/21;5,56%;11,11%;44,44%;33,33%;5,56%
29/06/21;6,67%;13,33%;33,33%;40,00%;6,67%
30/06/21;0;13,33%;53,33%;20,00%;13,33%
01/07/21;0;7,14%;35,71%;42,86%;14,29%
02/07/21;9,09%;18,18%;36,36%;18,18%;18,18%
03/07/21;0;20,00%;46,67%;26,67%;6,67%
04/07/21;0;30,00%;40,00%;20,00%;10,00%
05/07/21;0;15,38%;53,85%;30,77%;0
06/07/21;0;33,33%;33,33%;33,33%;0
07/07/21;0;10,00%;20,00%;40,00%;30,00%
08/07/21;0;46,15%;23,08%;15,38%;15,38%
09/07/21;0;25,00%;25,00%;16,67%;33,33%
10/07/21;0;18,18%;72,73%;0;9,09%
11/07/21;0;12,50%;75,00%;12,50%;0
12/07/21;0;18,18%;36,36%;36,36%;9,09%
13/07/21;0;0;62,50%;25,00%;12,50%
14/07/21;0;7,14%;42,86%;42,86%;7,14%
15/07/21;0;11,11%;44,44%;22,22%;22,22%
16/07/21;28,57%;0;28,57%;28,57%;14,29%
17/07/21;0;0;28,57%;57,14%;14,29%
18/07/21;0;14,29%;42,86%;42,86%;0
19/07/21;0;7,69%;30,77%;38,46%;23,08%
20/07/21;0;20,00%;10,00%;30,00%;40,00%
21/07/21;0;15,38%;46,15%;15,38%;23,08%
22/07/21;0;0;41,67%;41,67%;16,67%
23/07/21;0;28,57%;28,57%;28,57%;14,29%
24/07/21;0;22,22%;44,44%;33,33%;0
25/07/21;0;12,50%;50,00%;25,00%;12,50%
26/07/21;7,69%;15,38%;38,46%;30,77%;7,69%
27/07/21;6,25%;6,25%;12,50%;50,00%;25,00%
28/07/21;0;0;60,00%;0;40,00%
29/07/21;0;0;40,00%;40,00%;20,00%
30/07/21;12,50%;12,50%;25,00%;25,00%;25,00%
31/07/21;0;12,50%;43,75%;25,00%;18,75%
01/08/21;0;20,00%;13,33%;33,33%;33,33%
02/08/21;0;4,76%;33,33%;52,38%;9,52%
03/08/21;0;10,00%;55,00%;35,00%;0
04/08/21;0;8,33%;45,83%;33,33%;12,50%
05/08/21;0;9,09%;27,27%;40,91%;22,73%
06/08/21;5,26%;15,79%;31,58%;21,05%;26,32%
07/08/21;0;23,08%;23,08%;38,46%;15,38%
08/08/21;0;5,56%;38,89%;38,89%;16,67%
09/08/21;0;8,70%;30,43%;47,83%;13,04%
10/08/21;0;4,55%;36,36%;45,45%;13,64%
11/08/21;2,70%;10,81%;29,73%;43,24%;13,51%
12/08/21;3,13%;9,38%;37,50%;34,38%;15,63%
13/08/21;0;10,53%;39,47%;36,84%;13,16%
14/08/21;0;12,82%;38,46%;30,77%;17,95%
15/08/21;0;12,90%;35,48%;25,81%;25,81%
16/08/21;2,50%;15,00%;42,50%;27,50%;12,50%
17/08/21;0;9,68%;40,32%;30,65%;19,35%
18/08/21;5,26%;10,53%;36,84%;39,47%;7,89%
19/08/21;0;6,52%;39,13%;30,43%;23,91%
20/08/21;0;9,76%;39,02%;29,27%;21,95%
21/08/21;0;0;37,04%;44,44%;18,52%
22/08/21;0;14,89%;42,55%;27,66%;14,89%
23/08/21;0;9,52%;33,33%;38,10%;19,05%
24/08/21;2,17%;17,39%;36,96%;26,09%;17,39%
25/08/21;0;12,00%;40,00%;34,00%;14,00%
26/08/21;5,71%;11,43%;34,29%;25,71%;22,86%
27/08/21;0;7,02%;38,60%;31,58%;22,81%
28/08/21;2,04%;4,08%;44,90%;32,65%;16,33%
29/08/21;0;6,78%;38,98%;37,29%;16,95%
30/08/21;0;12,50%;43,75%;27,08%;16,67%
31/08/21;1,75%;10,53%;50,88%;29,82%;7,02%
01/09/21;4,08%;18,37%;40,82%;28,57%;8,16%
02/09/21;0;4,35%;50,00%;30,43%;15,22%
03/09/21;3,23%;14,52%;33,87%;33,87%;14,52%
04/09/21;0;13,04%;36,96%;43,48%;6,52%
05/09/21;1,72%;5,17%;44,83%;31,03%;17,24%
06/09/21;0;11,11%;37,04%;33,33%;18,52%
07/09/21;2,00%;10,00%;30,00%;36,00%;22,00%
08/09/21;0;5,36%;42,86%;28,57%;23,21%
09/09/21;1,82%;10,91%;45,45%;32,73%;9,09%
10/09/21;0;15,79%;36,84%;26,32%;21,05%
11/09/21;1,85%;11,11%;27,78%;35,19%;24,07%
12/09/21;3,77%;13,21%;43,40%;24,53%;15,09%
13/09/21;0;10,26%;38,46%;28,21%;23,08%
14/09/21;0;9,80%;45,10%;29,41%;15,69%
15/09/21;0;12,00%;40,00%;28,00%;20,00%
16/09/21;0;8,11%;45,95%;29,73%;16,22%
17/09/21;0;15,79%;21,05%;36,84%;26,32%
18/09/21;0;7,14%;42,86%;28,57%;21,43%
19/09/21;0;0;100,00%;0;0
