Data;0-39;40-59;60-79;80-89;>= 90
09/06/20;0;0;20,00%;60,00%;20,00%
10/06/20;0;2,63%;26,32%;34,21%;36,84%
11/06/20;0;5,13%;30,77%;51,28%;12,82%
12/06/20;0;0;32,35%;41,18%;26,47%
13/06/20;0;12,50%;20,83%;50,00%;16,67%
14/06/20;0;4,55%;50,00%;31,82%;13,64%
15/06/20;0;7,89%;23,68%;36,84%;31,58%
16/06/20;0;2,27%;22,73%;43,18%;31,82%
17/06/20;0;8,57%;17,14%;42,86%;31,43%
18/06/20;0;2,27%;29,55%;38,64%;29,55%
19/06/20;0;0;14,71%;52,94%;32,35%
20/06/20;0;5,26%;10,53%;42,11%;42,11%
21/06/20;0;0;8,00%;52,00%;40,00%
22/06/20;0;0;19,35%;45,16%;35,48%
23/06/20;0;3,92%;15,69%;39,22%;41,18%
24/06/20;0;0;32,00%;44,00%;24,00%
25/06/20;0;0;19,23%;46,15%;34,62%
26/06/20;0;0;30,00%;55,00%;15,00%
27/06/20;0;4,17%;16,67%;50,00%;29,17%
28/06/20;0;0;38,46%;46,15%;15,38%
29/06/20;0;5,56%;33,33%;22,22%;38,89%
30/06/20;0;0;5,88%;64,71%;29,41%
01/07/20;0;0;33,33%;33,33%;33,33%
02/07/20;0;0;13,33%;46,67%;40,00%
03/07/20;0;0;12,50%;56,25%;31,25%
04/07/20;0;0;42,86%;42,86%;14,29%
05/07/20;0;0;27,27%;45,45%;27,27%
06/07/20;0;7,14%;35,71%;28,57%;28,57%
07/07/20;0;0;9,09%;54,55%;36,36%
08/07/20;0;0;30,00%;60,00%;10,00%
09/07/20;0;10,00%;30,00%;30,00%;30,00%
10/07/20;0;0;18,18%;54,55%;27,27%
11/07/20;0;0;28,57%;28,57%;42,86%
12/07/20;0;0;33,33%;55,56%;11,11%
13/07/20;0;0;22,73%;45,45%;31,82%
14/07/20;0;0;28,57%;57,14%;14,29%
15/07/20;0;0;50,00%;25,00%;25,00%
16/07/20;0;17,65%;41,18%;29,41%;11,76%
17/07/20;0;0;50,00%;50,00%;0
18/07/20;0;14,29%;14,29%;50,00%;21,43%
19/07/20;0;0;20,00%;60,00%;20,00%
20/07/20;0;12,50%;25,00%;37,50%;25,00%
21/07/20;0;0;21,43%;50,00%;28,57%
22/07/20;0;6,25%;18,75%;43,75%;31,25%
23/07/20;0;0;50,00%;50,00%;0
24/07/20;0;0;12,50%;37,50%;50,00%
25/07/20;0;20,00%;0;60,00%;20,00%
26/07/20;0;0;0;60,00%;40,00%
27/07/20;0;6,25%;18,75%;50,00%;25,00%
28/07/20;0;0;12,50%;62,50%;25,00%
29/07/20;14,29%;14,29%;14,29%;42,86%;14,29%
30/07/20;0;28,57%;14,29%;28,57%;28,57%
31/07/20;0;0;75,00%;0;25,00%
01/08/20;0;25,00%;0;50,00%;25,00%
02/08/20;0;0;33,33%;66,67%;0
03/08/20;0;0;28,57%;57,14%;14,29%
04/08/20;0;0;50,00%;50,00%;0
05/08/20;0;0;28,57%;57,14%;14,29%
06/08/20;0;16,67%;16,67%;33,33%;33,33%
07/08/20;0;12,50%;37,50%;37,50%;12,50%
08/08/20;0;0;50,00%;16,67%;33,33%
09/08/20;0;0;20,00%;60,00%;20,00%
10/08/20;0;10,00%;20,00%;50,00%;20,00%
11/08/20;0;0;14,29%;28,57%;57,14%
12/08/20;0;25,00%;50,00%;0;25,00%
13/08/20;0;0;37,50%;37,50%;25,00%
14/08/20;0;0;10,00%;80,00%;10,00%
15/08/20;0;0;50,00%;0;50,00%
16/08/20;0;10,00%;20,00%;30,00%;40,00%
17/08/20;0;66,67%;0;33,33%;0
18/08/20;0;0;16,67%;16,67%;66,67%
19/08/20;14,29%;0;14,29%;42,86%;28,57%
20/08/20;0;9,09%;27,27%;36,36%;27,27%
21/08/20;0;0;50,00%;50,00%;0
22/08/20;0;0;16,67%;66,67%;16,67%
23/08/20;0;0;33,33%;66,67%;0
24/08/20;0;14,29%;14,29%;71,43%;0
25/08/20;0;16,67%;33,33%;16,67%;33,33%
26/08/20;0;30,00%;10,00%;30,00%;30,00%
27/08/20;0;0;50,00%;50,00%;0
28/08/20;0;0;0;0;0
29/08/20;0;0;0;33,33%;66,67%
30/08/20;0;0;0;57,14%;42,86%
31/08/20;0;11,11%;33,33%;22,22%;33,33%
01/09/20;0;11,11%;66,67%;11,11%;11,11%
02/09/20;0;27,27%;27,27%;45,45%;0
03/09/20;0;0;27,27%;45,45%;27,27%
04/09/20;0;18,18%;27,27%;27,27%;27,27%
05/09/20;0;7,14%;28,57%;35,71%;28,57%
06/09/20;0;0;50,00%;33,33%;16,67%
07/09/20;0;5,26%;21,05%;57,89%;15,79%
08/09/20;0;0;0;100,00%;0
09/09/20;0;0;28,57%;14,29%;57,14%
10/09/20;0;0;66,67%;22,22%;11,11%
11/09/20;0;11,11%;33,33%;22,22%;33,33%
12/09/20;6,67%;6,67%;53,33%;26,67%;6,67%
13/09/20;0;7,14%;35,71%;35,71%;21,43%
14/09/20;0;0;35,71%;35,71%;28,57%
15/09/20;0;4,76%;42,86%;23,81%;28,57%
16/09/20;0;0;25,00%;56,25%;18,75%
17/09/20;6,25%;0;43,75%;50,00%;0
18/09/20;4,17%;12,50%;20,83%;37,50%;25,00%
19/09/20;0;6,25%;25,00%;31,25%;37,50%
20/09/20;0;5,26%;36,84%;36,84%;21,05%
21/09/20;0;0;47,06%;29,41%;23,53%
22/09/20;0;0;23,08%;46,15%;30,77%
23/09/20;3,85%;3,85%;11,54%;57,69%;23,08%
24/09/20;0;9,52%;57,14%;28,57%;4,76%
25/09/20;0;3,45%;34,48%;27,59%;34,48%
26/09/20;0;5,26%;42,11%;21,05%;31,58%
27/09/20;0;0;44,00%;32,00%;24,00%
28/09/20;0;0;19,05%;47,62%;33,33%
29/09/20;0;8,00%;32,00%;28,00%;32,00%
30/09/20;0;15,79%;21,05%;21,05%;42,11%
01/10/20;3,70%;11,11%;25,93%;33,33%;25,93%
02/10/20;3,33%;13,33%;26,67%;30,00%;26,67%
03/10/20;0;5,88%;17,65%;58,82%;17,65%
04/10/20;0;0;45,00%;40,00%;15,00%
05/10/20;0;5,13%;53,85%;25,64%;15,38%
06/10/20;0;4,00%;44,00%;32,00%;20,00%
07/10/20;0;0;33,33%;42,42%;24,24%
08/10/20;0;7,69%;30,77%;41,03%;20,51%
09/10/20;0;4,55%;25,00%;38,64%;31,82%
10/10/20;1,92%;3,85%;30,77%;42,31%;21,15%
11/10/20;0;3,57%;35,71%;37,50%;23,21%
12/10/20;0;9,09%;25,97%;50,65%;14,29%
13/10/20;0;5,71%;24,29%;40,00%;30,00%
14/10/20;0;4,17%;40,28%;40,28%;15,28%
15/10/20;0;2,94%;36,76%;42,65%;17,65%
16/10/20;0,94%;4,72%;33,02%;46,23%;15,09%
17/10/20;1,11%;3,33%;18,89%;45,56%;31,11%
18/10/20;0;3,77%;26,42%;41,51%;28,30%
19/10/20;0,93%;3,70%;22,22%;48,15%;25,00%
20/10/20;0;4,76%;36,05%;42,18%;17,01%
21/10/20;0,68%;3,40%;25,17%;46,94%;23,81%
22/10/20;0,62%;3,09%;25,31%;44,44%;26,54%
23/10/20;0;4,95%;27,47%;40,66%;26,92%
24/10/20;0,47%;6,60%;28,30%;44,81%;19,81%
25/10/20;0;4,52%;31,66%;44,22%;19,60%
