Data;0-39;40-59;60-79;80-89;>=90;%0-39;%40-59;%60-79;%80-89;%>=90;Totale
02/04/21;117;443;803;347;113;6,42%;24,30%;44,05%;19,03%;6,20%;1823
03/04/21;113;411;705;278;95;7,05%;25,66%;44,01%;17,35%;5,93%;1602
04/04/21;104;308;591;234;60;8,02%;23,75%;45,57%;18,04%;4,63%;1297
05/04/21;105;343;619;238;62;7,68%;25,09%;45,28%;17,41%;4,54%;1367
06/04/21;122;405;714;289;69;7,63%;25,33%;44,65%;18,07%;4,32%;1599
07/04/21;114;356;686;252;58;7,78%;24,28%;46,79%;17,19%;3,96%;1466
08/04/21;97;330;635;245;55;7,12%;24,23%;46,62%;17,99%;4,04%;1362
09/04/21;111;344;620;249;59;8,03%;24,87%;44,83%;18,00%;4,27%;1383
10/04/21;99;312;587;202;55;7,89%;24,86%;46,77%;16,10%;4,38%;1255
11/04/21;100;291;461;200;55;9,03%;26,29%;41,64%;18,07%;4,97%;1107
12/04/21;127;288;547;205;51;10,43%;23,65%;44,91%;16,83%;4,19%;1218
13/04/21;120;341;570;211;58;9,23%;26,23%;43,85%;16,23%;4,46%;1300
14/04/21;84;267;533;207;51;7,36%;23,38%;46,67%;18,13%;4,47%;1142
15/04/21;103;304;484;172;60;9,17%;27,07%;43,10%;15,32%;5,34%;1123
16/04/21;107;251;472;173;36;10,30%;24,16%;45,43%;16,65%;3,46%;1039
17/04/21;83;263;439;175;42;8,28%;26,25%;43,81%;17,47%;4,19%;1002
18/04/21;87;289;413;161;53;8,67%;28,81%;41,18%;16,05%;5,28%;1003
19/04/21;116;244;512;178;50;10,55%;22,18%;46,55%;16,18%;4,55%;1100
20/04/21;115;256;534;151;49;10,41%;23,17%;48,33%;13,67%;4,43%;1105
21/04/21;97;278;502;163;45;8,94%;25,62%;46,27%;15,02%;4,15%;1085
22/04/21;100;247;445;146;44;10,18%;25,15%;45,32%;14,87%;4,48%;982
23/04/21;85;289;464;162;33;8,23%;27,98%;44,92%;15,68%;3,19%;1033
24/04/21;89;266;395;143;43;9,51%;28,42%;42,20%;15,28%;4,59%;936
25/04/21;84;221;363;117;44;10,13%;26,66%;43,79%;14,11%;5,31%;829
26/04/21;97;273;472;117;44;9,67%;27,22%;47,06%;11,67%;4,39%;1003
27/04/21;77;272;440;107;29;8,32%;29,41%;47,57%;11,57%;3,14%;925
28/04/21;91;274;442;127;31;9,43%;28,39%;45,80%;13,16%;3,21%;965
29/04/21;81;246;398;82;41;9,55%;29,01%;46,93%;9,67%;4,83%;848
30/04/21;82;247;411;113;34;9,24%;27,85%;46,34%;12,74%;3,83%;887
01/05/21;87;203;325;96;30;11,74%;27,40%;43,86%;12,96%;4,05%;741
02/05/21;88;185;297;74;17;13,31%;27,99%;44,93%;11,20%;2,57%;661
03/05/21;96;241;388;100;24;11,31%;28,39%;45,70%;11,78%;2,83%;849
04/05/21;82;222;392;107;29;9,86%;26,68%;47,12%;12,86%;3,49%;832
05/05/21;92;221;321;82;31;12,32%;29,59%;42,97%;10,98%;4,15%;747
06/05/21;60;208;310;70;26;8,90%;30,86%;45,99%;10,39%;3,86%;674
07/05/21;77;200;299;73;24;11,44%;29,72%;44,43%;10,85%;3,57%;673
08/05/21;80;180;260;60;33;13,05%;29,36%;42,41%;9,79%;5,38%;613
09/05/21;67;133;198;42;15;14,73%;29,23%;43,52%;9,23%;3,30%;455
10/05/21;84;188;287;67;27;12,86%;28,79%;43,95%;10,26%;4,13%;653
11/05/21;59;167;219;61;31;10,99%;31,10%;40,78%;11,36%;5,77%;537
12/05/21;66;187;218;59;18;12,04%;34,12%;39,78%;10,77%;3,28%;548
13/05/21;67;176;214;57;28;12,36%;32,47%;39,48%;10,52%;5,17%;542
14/05/21;76;146;202;45;22;15,48%;29,74%;41,14%;9,16%;4,48%;491
15/05/21;64;129;165;47;11;15,38%;31,01%;39,66%;11,30%;2,64%;416
16/05/21;43;139;129;36;12;11,98%;38,72%;35,93%;10,03%;3,34%;359
17/05/21;77;162;171;38;19;16,49%;34,69%;36,62%;8,14%;4,07%;467
18/05/21;43;130;148;44;15;11,32%;34,21%;38,95%;11,58%;3,95%;380
19/05/21;51;126;145;41;9;13,71%;33,87%;38,98%;11,02%;2,42%;372
20/05/21;46;140;136;35;10;12,53%;38,15%;37,06%;9,54%;2,72%;367
21/05/21;39;133;119;23;8;12,11%;41,30%;36,96%;7,14%;2,48%;322
22/05/21;42;93;97;31;10;15,38%;34,07%;35,53%;11,36%;3,66%;273
23/05/21;43;83;104;26;8;16,29%;31,44%;39,39%;9,85%;3,03%;264
24/05/21;55;105;105;24;11;18,33%;35,00%;35,00%;8,00%;3,67%;300
25/05/21;32;92;91;25;14;12,60%;36,22%;35,83%;9,84%;5,51%;254
26/05/21;51;113;93;22;4;18,02%;39,93%;32,86%;7,77%;1,41%;283
27/05/21;44;82;74;16;6;19,82%;36,94%;33,33%;7,21%;2,70%;222
28/05/21;42;87;106;27;5;15,73%;32,58%;39,70%;10,11%;1,87%;267
29/05/21;40;79;60;28;9;18,52%;36,57%;27,78%;12,96%;4,17%;216
30/05/21;25;70;62;16;6;13,97%;39,11%;34,64%;8,94%;3,35%;179
31/05/21;42;81;64;25;5;19,35%;37,33%;29,49%;11,52%;2,30%;217
01/06/21;41;83;55;20;13;19,34%;39,15%;25,94%;9,43%;6,13%;212
02/06/21;38;59;49;17;9;22,09%;34,30%;28,49%;9,88%;5,23%;172
03/06/21;37;61;61;14;6;20,67%;34,08%;34,08%;7,82%;3,35%;179
04/06/21;37;76;59;11;8;19,37%;39,79%;30,89%;5,76%;4,19%;191
05/06/21;27;58;48;11;4;18,24%;39,19%;32,43%;7,43%;2,70%;148
06/06/21;34;55;47;22;3;21,12%;34,16%;29,19%;13,66%;1,86%;161
07/06/21;33;71;56;16;4;18,33%;39,44%;31,11%;8,89%;2,22%;180
08/06/21;41;60;39;10;8;25,95%;37,97%;24,68%;6,33%;5,06%;158
09/06/21;26;62;49;11;4;17,11%;40,79%;32,24%;7,24%;2,63%;152
10/06/21;26;38;35;14;8;21,49%;31,40%;28,93%;11,57%;6,61%;121
11/06/21;32;43;34;7;7;26,02%;34,96%;27,64%;5,69%;5,69%;123
12/06/21;33;43;29;13;5;26,83%;34,96%;23,58%;10,57%;4,07%;123
13/06/21;30;43;21;15;3;26,79%;38,39%;18,75%;13,39%;2,68%;112
14/06/21;25;35;36;8;4;23,15%;32,41%;33,33%;7,41%;3,70%;108
15/06/21;21;38;43;13;4;17,65%;31,93%;36,13%;10,92%;3,36%;119
16/06/21;22;42;26;9;4;21,36%;40,78%;25,24%;8,74%;3,88%;103
17/06/21;18;34;25;6;3;20,93%;39,53%;29,07%;6,98%;3,49%;86
18/06/21;21;30;27;6;5;23,60%;33,71%;30,34%;6,74%;5,62%;89
19/06/21;17;24;17;7;5;24,29%;34,29%;24,29%;10,00%;7,14%;70
20/06/21;17;13;22;9;4;26,15%;20,00%;33,85%;13,85%;6,15%;65
21/06/21;21;30;18;6;1;27,63%;39,47%;23,68%;7,89%;1,32%;76
22/06/21;25;37;22;12;5;24,75%;36,63%;21,78%;11,88%;4,95%;101
23/06/21;16;28;12;5;5;24,24%;42,42%;18,18%;7,58%;7,58%;66
24/06/21;25;29;21;9;3;28,74%;33,33%;24,14%;10,34%;3,45%;87
25/06/21;20;21;16;7;2;30,30%;31,82%;24,24%;10,61%;3,03%;66
26/06/21;13;24;20;10;3;18,57%;34,29%;28,57%;14,29%;4,29%;70
27/06/21;13;18;15;6;4;23,21%;32,14%;26,79%;10,71%;7,14%;56
28/06/21;17;26;19;12;2;22,37%;34,21%;25,00%;15,79%;2,63%;76
29/06/21;16;21;20;9;4;22,86%;30,00%;28,57%;12,86%;5,71%;70
30/06/21;27;14;19;6;2;39,71%;20,59%;27,94%;8,82%;2,94%;68
01/07/21;21;26;14;5;4;30,00%;37,14%;20,00%;7,14%;5,71%;70
02/07/21;14;14;15;9;0;26,92%;26,92%;28,85%;17,31%;0,00%;52
03/07/21;18;19;12;5;2;32,14%;33,93%;21,43%;8,93%;3,57%;56
04/07/21;21;22;15;2;3;33,33%;34,92%;23,81%;3,17%;4,76%;63
05/07/21;22;15;17;7;3;34,38%;23,44%;26,56%;10,94%;4,69%;64
06/07/21;28;12;20;6;1;41,79%;17,91%;29,85%;8,96%;1,49%;67
07/07/21;26;31;16;8;1;31,71%;37,80%;19,51%;9,76%;1,22%;82
08/07/21;34;24;22;8;3;37,36%;26,37%;24,18%;8,79%;3,30%;91
09/07/21;19;25;18;10;3;25,33%;33,33%;24,00%;13,33%;4,00%;75
10/07/21;23;21;18;5;2;33,33%;30,43%;26,09%;7,25%;2,90%;69
11/07/21;30;22;13;4;2;42,25%;30,99%;18,31%;5,63%;2,82%;71
12/07/21;30;20;23;4;1;38,46%;25,64%;29,49%;5,13%;1,28%;78
13/07/21;42;22;28;13;2;39,25%;20,56%;26,17%;12,15%;1,87%;107
14/07/21;27;25;23;20;2;27,84%;25,77%;23,71%;20,62%;2,06%;97
15/07/21;39;21;27;11;2;39,00%;21,00%;27,00%;11,00%;2,00%;100
16/07/21;45;31;25;11;2;39,47%;27,19%;21,93%;9,65%;1,75%;114
17/07/21;54;29;25;13;2;43,90%;23,58%;20,33%;10,57%;1,63%;123
18/07/21;52;32;18;5;6;46,02%;28,32%;15,93%;4,42%;5,31%;113
19/07/21;58;51;32;15;3;36,48%;32,08%;20,13%;9,43%;1,89%;159
20/07/21;67;41;37;17;2;40,85%;25,00%;22,56%;10,37%;1,22%;164
21/07/21;55;58;31;18;5;32,93%;34,73%;18,56%;10,78%;2,99%;167
22/07/21;66;58;41;17;4;35,48%;31,18%;22,04%;9,14%;2,15%;186
23/07/21;65;43;48;15;12;35,52%;23,50%;26,23%;8,20%;6,56%;183
24/07/21;61;50;50;17;10;32,45%;26,60%;26,60%;9,04%;5,32%;188
25/07/21;71;67;48;18;3;34,30%;32,37%;23,19%;8,70%;1,45%;207
26/07/21;61;61;58;15;5;30,50%;30,50%;29,00%;7,50%;2,50%;200
27/07/21;61;69;42;27;2;30,35%;34,33%;20,90%;13,43%;1,00%;201
28/07/21;62;81;45;26;7;28,05%;36,65%;20,36%;11,76%;3,17%;221
29/07/21;48;64;71;21;8;22,64%;30,19%;33,49%;9,91%;3,77%;212
30/07/21;84;70;51;20;10;35,74%;29,79%;21,70%;8,51%;4,26%;235
31/07/21;70;57;55;25;9;32,41%;26,39%;25,46%;11,57%;4,17%;216
01/08/21;64;61;50;31;9;29,77%;28,37%;23,26%;14,42%;4,19%;215
02/08/21;67;83;55;36;11;26,59%;32,94%;21,83%;14,29%;4,37%;252
03/08/21;74;83;80;38;9;26,06%;29,23%;28,17%;13,38%;3,17%;284
04/08/21;89;90;62;37;11;30,80%;31,14%;21,45%;12,80%;3,81%;289
05/08/21;69;69;81;25;11;27,06%;27,06%;31,76%;9,80%;4,31%;255
06/08/21;75;82;69;39;9;27,37%;29,93%;25,18%;14,23%;3,28%;274
07/08/21;73;68;66;35;10;28,97%;26,98%;26,19%;13,89%;3,97%;252
08/08/21;78;69;59;27;11;31,97%;28,28%;24,18%;11,07%;4,51%;244
09/08/21;73;88;97;40;16;23,25%;28,03%;30,89%;12,74%;5,10%;314
10/08/21;69;73;93;38;6;24,73%;26,16%;33,33%;13,62%;2,15%;279
11/08/21;68;87;92;40;10;22,90%;29,29%;30,98%;13,47%;3,37%;297
12/08/21;73;80;89;39;13;24,83%;27,21%;30,27%;13,27%;4,42%;294
13/08/21;62;92;88;52;14;20,13%;29,87%;28,57%;16,88%;4,55%;308
14/08/21;75;69;69;38;20;27,68%;25,46%;25,46%;14,02%;7,38%;271
15/08/21;65;86;68;36;12;24,34%;32,21%;25,47%;13,48%;4,49%;267
16/08/21;80;87;90;43;12;25,64%;27,88%;28,85%;13,78%;3,85%;312
17/08/21;63;88;80;37;7;22,91%;32,00%;29,09%;13,45%;2,55%;275
18/08/21;80;92;92;39;16;25,08%;28,84%;28,84%;12,23%;5,02%;319
19/08/21;51;80;72;30;7;21,25%;33,33%;30,00%;12,50%;2,92%;240
20/08/21;48;47;61;28;10;24,74%;24,23%;31,44%;14,43%;5,15%;194
21/08/21;16;37;28;25;3;14,68%;33,94%;25,69%;22,94%;2,75%;109
22/08/21;0;3;0;1;0;0,00%;75,00%;0,00%;25,00%;0,00%;4
