Mese;Altro;Ricovero;Ricovero in TI
Gennaio;15,06;47,6;37,35
Febbraio;15,97;43,72;40,31
Marzo;14,64;42,74;42,62
Aprile;13,62;40,53;45,85
Maggio;11,82;37,76;50,42
Giugno;11,37;36,62;52,01
Luglio;8,89;33,89;57,22
Agosto;10,37;41,48;48,15
Settembre;7,37;35,92;56,7
Ottobre;9,5;34,44;56,06
Novembre;12,35;39,73;47,92
Dicembre;12,91;43,85;43,23
