Mese;Altro;Ricovero;Ricovero in TI
Gennaio;25,77;66,85;7,38
Febbraio;21,85;68,77;9,38
Marzo;18,85;71,88;9,27
Aprile;17,47;74,8;7,73
Maggio;16,76;76,14;7,1
Giugno;15,56;74,49;9,95
Luglio;18,42;66,45;15,13
Agosto;16,36;73,86;9,78
Settembre;17,38;73,25;9,38
Ottobre;20,23;71,13;8,65
Novembre;17,5;74,74;7,76
Dicembre;19;75,07;5,93
