Data;N. Nuovi Positivi
06/09/2021 - 12/09/2021;5
13/09/2021 - 19/09/2021;5
20/09/2021 - 26/09/2021;6
27/09/2021 - 03/10/2021;18
04/10/2021 - 10/10/2021;11
11/10/2021 - 17/10/2021;21
18/10/2021 - 24/10/2021;24
25/10/2021 - 31/10/2021;45
01/11/2021 - 07/11/2021;63
08/11/2021 - 14/11/2021;48
15/11/2021 - 21/11/2021;68
22/11/2021 - 28/11/2021;93
29/11/2021 - 05/12/2021;122
06/12/2021 - 12/12/2021;112
13/12/2021 - 19/12/2021;137
20/12/2021 - 26/12/2021;162
27/12/2021 - 02/01/2022;41
03/01/2022 - 09/01/2022;51
10/01/2022 - 16/01/2022;152
17/01/2022 - 23/01/2022;303
24/01/2022 - 30/01/2022;279
31/01/2022 - 06/02/2022;169
07/02/2022 - 13/02/2022;79
14/02/2022 - 20/02/2022;77
