Data;Nido;Materna;Elementare;Media;Superiore;Totale
06/09/2021 - 12/09/2021;70;90;161;103;157;581
13/09/2021 - 19/09/2021;73;99;179;103;161;615
20/09/2021 - 26/09/2021;46;72;147;90;98;453
27/09/2021 - 03/10/2021;26;58;153;84;87;408
04/10/2021 - 10/10/2021;31;59;116;49;68;323
11/10/2021 - 17/10/2021;30;58;131;51;63;333
18/10/2021 - 24/10/2021;26;48;108;92;58;332
25/10/2021 - 31/10/2021;40;63;226;141;81;551
01/11/2021 - 07/11/2021;32;84;252;132;83;583
08/11/2021 - 14/11/2021;40;84;310;168;114;716
15/11/2021 - 21/11/2021;43;91;301;152;140;727
22/11/2021 - 28/11/2021;59;102;372;178;145;856
29/11/2021 - 05/12/2021;49;126;517;262;155;1.109
06/12/2021 - 12/12/2021;87;167;717;282;221;1.474
13/12/2021 - 19/12/2021;113;211;851;371;359;1.905
20/12/2021 - 26/12/2021;210;316;1.224;599;964;3.313
27/12/2021 - 02/01/2022;710;762;3.112;2.097;4.964;11.645
03/01/2022 - 09/01/2022;1.168;1.294;3.906;3.059;6.271;15.698
10/01/2022 - 16/01/2022;1.201;1.881;5.101;3.425;5.788;17.396
17/01/2022 - 23/01/2022;1.590;3.265;8.431;4.141;6.630;24.057
24/01/2022 - 30/01/2022;1.526;3.337;7.687;3.748;5.621;21.919
31/01/2022 - 06/02/2022;1.106;2.318;5.047;2.632;3.774;14.877
07/02/2022 - 13/02/2022;762;1.426;3.010;1.673;2.323;9.194
14/02/2022 - 20/02/2022;508;979;2.015;1.116;1.641;6.259
21/02/2022 - 27/02/2022;449;783;1.370;923;1.322;4.847
28/02/2022 - 06/03/2022;381;550;1.130;782;1.263;4.106
07/03/2022 - 13/03/2022;474;643;1.560;1.077;1.792;5.546
14/03/2022 - 20/03/2022;647;870;2.160;1.471;1.882;7.030
21/03/2022 - 27/03/2022;669;903;2.136;1.402;1.624;6.734
28/03/2022 -03/04/2022;667;818;1.720;1.333;1.429;5.967
04/04/2022 - 10/04/2022;572;686;1.591;1.124;1.303;5.276
