Data;Provincia;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
22/11/2021 - 28/11/2021;Pisa;83;367;22,62%;66.994;123,89;4.038;0,12%;2,10%
22/11/2021 - 28/11/2021;Prato;57;157;36,31%;44.793;127,25;2.200;0,13%;2,60%
22/11/2021 - 28/11/2021;Pistoia;123;368;33,42%;45.599;269,74;3.221;0,27%;3,80%
22/11/2021 - 28/11/2021;Siena;84;315;26,67%;40.917;205,29;3.944;0,21%;2,10%
22/11/2021 - 28/11/2021;Totale;856;3.239;26,43%;571.139;149,88;36.601;0,15%;2,30%
;;;;;;;;;
29/11/2021 - 05/12/2021;Arezzo;134;412;32,52%;52.240;256,51;3.325;0,26%;4,00%
29/11/2021 - 05/12/2021;Firenze;244;944;25,85%;156.593;155,82;10.432;0,16%;2,30%
29/11/2021 - 05/12/2021;Grosseto;121;372;32,53%;31.106;388,99;2.969;0,39%;4,10%
29/11/2021 - 05/12/2021;Livorno;105;417;25,18%;48.911;214,68;3.356;0,21%;3,10%
29/11/2021 - 05/12/2021;Lucca;88;367;23,98%;57.349;153,45;3.420;0,15%;2,60%
29/11/2021 - 05/12/2021;Massa Carrara;91;300;30,33%;26.637;341,63;1.292;0,34%;7,00%
29/11/2021 - 05/12/2021;Pisa;71;356;19,94%;66.994;105,98;4.146;0,11%;1,70%
29/11/2021 - 05/12/2021;Prato;65;264;24,62%;44.793;145,11;2.343;0,15%;2,80%
29/11/2021 - 05/12/2021;Pistoia;112;407;27,52%;45.599;245,62;3.029;0,25%;3,70%
29/11/2021 - 05/12/2021;Siena;78;239;32,64%;40.917;190,63;3.230;0,19%;2,40%
29/11/2021 - 05/12/2021;Totale;1.109;4.078;27,19%;571.139;194,17;37.542;0,19%;3,00%
;;;;;;;;;
06/12/2021 - 12/12/2021;Arezzo;173;509;33,99%;52.240;331,16;3.745;0,33%;4,60%
06/12/2021 - 12/12/2021;Firenze;438;1349;32,47%;156.593;279,71;10.595;0,28%;4,10%
06/12/2021 - 12/12/2021;Grosseto;103;328;31,40%;31.106;331,13;2.389;0,33%;4,30%
06/12/2021 - 12/12/2021;Livorno;161;611;26,35%;48.911;329,17;3.513;0,33%;4,60%
06/12/2021 - 12/12/2021;Lucca;117;482;24,27%;57.349;204,01;3.193;0,20%;3,70%
06/12/2021 - 12/12/2021;Massa Carrara;82;297;27,61%;26.637;307,84;1.242;0,31%;6,60%
06/12/2021 - 12/12/2021;Pisa;126;488;25,82%;66.994;188,08;3.953;0,19%;3,20%
06/12/2021 - 12/12/2021;Prato;45;217;20,74%;44.793;100,46;2.038;0,10%;2,20%
06/12/2021 - 12/12/2021;Pistoia;162;541;29,94%;45.599;355,27;3.035;0,36%;5,30%
06/12/2021 - 12/12/2021;Siena;67;295;22,71%;40.917;163,75;3.167;0,16%;2,10%
06/12/2021 - 12/12/2021;Totale;1.474;5117;28,81%;571.139;258,08;36.870;0,26%;4,00%
;;;;;;;;;
13/12/2021 - 19/12/2021;Arezzo;242;749;32,31%;52.240;463,25;3.897;0,46%;6,20%
13/12/2021 - 19/12/2021;Firenze;578;1.949;29,66%;156.593;369,11;13.200;0,37%;4,40%
13/12/2021 - 19/12/2021;Grosseto;144;526;27,38%;31.106;462,93;2.862;0,46%;5,00%
13/12/2021 - 19/12/2021;Livorno;238;950;25,05%;48.911;486,6;4.269;0,49%;5,60%
13/12/2021 - 19/12/2021;Lucca;156;722;21,61%;57.349;272,02;3.604;0,27%;4,30%
13/12/2021 - 19/12/2021;Massa Carrara;50;361;13,85%;26.637;187,71;1.371;0,19%;3,60%
13/12/2021 - 19/12/2021;Pisa;173;760;22,76%;66.994;258,23;4.257;0,26%;4,10%
13/12/2021 - 19/12/2021;Prato;71;292;24,32%;44.793;158,51;2.403;0,16%;3,00%
