regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B1-1-529;n_BA-1;n_BA-2;n_BA-4;n_BA-5;n_XN;n_Totale;percent_B1-1-529;percent_BA-1;percent_BA-2;percent_BA-4;percent_BA-5;percent_XN;percent_Totale
Abruzzo;2;103;39;;;4;6;29;;39;0,0;0,0;10,3;15,4;74,4;0,0;100,0
Basilicata;2;191;11;;;1;;10;;11;0,0;0,0;9,1;0,0;90,9;0,0;100,0
Calabria;4;167;35;;;10;3;17;;30;0,0;0,0;33,3;10,0;56,7;0,0;100,0
Campania;3;706;135;;4;13;22;91;;130;0,0;3,1;10,0;16,9;70,0;0,0;100,0
Emilia-Romagna;3;154;154;;;7;21;119;;147;0,0;0,0;4,8;14,3;81,0;0,0;100,0
Friuli-Venezia Giulia;7;219;69;;;5;9;47;;61;0,0;0,0;8,2;14,8;77,0;0,0;100,0
Lazio;1;164;164;;;21;17;125;;163;0,0;0,0;12,9;10,4;76,7;0,0;100,0
Liguria;6;535;45;;;6;1;37;;44;0,0;0,0;13,6;2,3;84,1;0,0;100,0
Lombardia;17;385;384;5;4;26;51;249;;335;1,5;1,2;7,8;15,2;74,3;0,0;100,0
Marche;5;62;62;;;2;14;45;;61;0,0;0,0;3,3;23,0;73,8;0,0;100,0
Molise;1;32;29;;;3;2;24;;29;0,0;0,0;10,3;6,9;82,8;0,0;100,0
P.A. Bolzano;1;32;24;;;3;2;19;;24;0,0;0,0;12,5;8,3;79,2;0,0;100,0
P.A. Trento;1;16;16;;;;5;7;;12;0,0;0,0;0,0;41,7;58,3;0,0;100,0
Piemonte;11;92;92;;;6;11;70;1;88;0,0;0,0;6,8;12,5;79,5;1,1;100,0
Puglia;11;72;72;;;6;6;53;;65;0,0;0,0;9,2;9,2;81,5;0,0;100,0
Sardegna;10;385;63;;;11;9;41;;61;0,0;0,0;18,0;14,8;67,2;0,0;100,0
Sicilia;4;147;147;;;15;14;118;;147;0,0;0,0;10,2;9,5;80,3;0,0;100,0
Toscana;3;138;77;;;11;10;56;;77;0,0;0,0;14,3;13,0;72,7;0,0;100,0
Umbria;4;180;48;;;2;7;39;;48;0,0;0,0;4,2;14,6;81,3;0,0;100,0
Valle d'Aosta;1;3;3;;;;;3;;3;0,0;0,0;0,0;0,0;100,0;0,0;100,0
Veneto;11;207;207;;1;20;29;157;;207;0,0;0,5;9,7;14,0;75,8;0,0;100,0
ITALIA;108;3990;1876;5;9;172;239;1356;1;1782;0,21%;0,65%;10,32%;13,22%;75,53%;0,06%;100,0%
