Data;Focolai Nido (0-2 anni);Focolai Materna (3-5 anni);Focolai Elementari (6-10 anni);Focolai Medie (11-13 anni);Focolai Superiori (14-18 anni)
4-10 ottobre 2021;1;1;5;4;2
11-17 ottobre 2021;1;1;2;2;11
18-24 ottobre 2021;1;2;9;3;6
25-31 ottobre 2021;2;4;5;3;1
8-14 novembre 2021;0;2;20;11;12
15-21 novembre 2021;1;5;35;28;11
22-28 novembre 2021;3;8;48;18;16
29 novembre - 5 dicembre 2021;0;6;70;33;18
6-12 dicembre 2021;3;10;97;41;21
13-19 dicembre 2021;3;15;89;38;27
20-26 dicembre 2021;5;28;121;38;63
10-16 gennaio 2022;11;29;116;30;41
