Data;Provincia;Nido;Materna;Elementari;Medie;Superiori
20-26 settembre 2021;Biella;0;1;1;0;1
20-26 settembre 2021;Torino città;0;0;1;0;1
20-26 settembre 2021;Torino Area metropolitana;2;0;1;0;1
20-26 settembre 2021;Cuneo;0;0;1;0;0
20-26 settembre 2021;Vco;0;0;0;0;0
20-26 settembre 2021;Novara;0;0;0;0;0
20-26 settembre 2021;Vercelli;0;0;0;0;1
20-26 settembre 2021;Alessandria;0;1;0;0;0
20-26 settembre 2021;Asti;0;0;2;0;0
;;;;;;
4-10 ottobre 2021;Biella;0;0;0;1;0
4-10 ottobre 2022;Torino città;0;0;0;1;0
4-10 ottobre 2023;Torino Area metropolitana;0;0;1;0;1
4-10 ottobre 2024;Cuneo;0;0;2;2;0
4-10 ottobre 2025;Vco;1;0;0;0;0
4-10 ottobre 2026;Novara;0;0;0;0;0
4-10 ottobre 2027;Vercelli;0;0;0;0;0
4-10 ottobre 2028;Alessandria;0;0;1;0;0
4-10 ottobre 2029;Asti;0;1;1;0;1
;;;;;;
11-17 ottobre 2021;Biella;0;0;0;0;2
11-17 ottobre 2021;Torino città;0;0;0;1;5
11-17 ottobre 2021;Torino Area metropolitana;0;1;1;0;3
x;Cuneo;0;0;0;0;1
11-17 ottobre 2021;Vco;0;0;0;0;0
11-17 ottobre 2021;Novara;0;0;0;0;0
11-17 ottobre 2021;Vercelli;0;0;0;0;0
11-17 ottobre 2021;Alessandria;1;0;1;1;0
11-17 ottobre 2021;Asti;0;0;0;0;0
;;;;;;
18-24 ottobre 2021;Biella;0;0;0;0;0
18-24 ottobre 2021;Torino città;0;0;1;1;4
18-24 ottobre 2021;Torino Area metropolitana;0;1;4;1;2
18-24 ottobre 2021;Cuneo;0;0;0;0;0
18-24 ottobre 2021;Vco;0;0;0;0;0
18-24 ottobre 2021;Novara;0;0;0;1;0
18-24 ottobre 2021;Vercelli;0;0;0;0;0
18-24 ottobre 2021;Alessandria;0;1;3;0;0
18-24 ottobre 2021;Asti;1;0;1;0;0
;;;;;;
25-31 ottobre 2021;Biella;0;0;0;0;0
25-31 ottobre 2021;Torino città;1;0;2;1;1
25-31 ottobre 2021;Torino Area metropolitana;0;1;1;0;0
25-31 ottobre 2021;Cuneo;1;1;2;1;0
25-31 ottobre 2021;Vco;0;0;0;0;0
25-31 ottobre 2021;Novara;0;0;0;1;0
25-31 ottobre 2021;Vercelli;0;1;0;0;0
25-31 ottobre 2021;Alessandria;0;1;0;0;0
25-31 ottobre 2021;Asti;0;0;0;1;0
;;;;;;
8-14 novembre 2021;Biella;0;0;1;0;0
8-14 novembre 2021;Torino città;0;0;0;0;3
8-14 novembre 2021;Torino Area metropolitana;0;0;10;2;7
8-14 novembre 2021;Cuneo;0;2;2;4;2
8-14 novembre 2021;Vco;0;0;0;0;0
8-14 novembre 2021;Novara;0;0;1;2;0
8-14 novembre 2021;Vercelli;0;0;2;0;0
8-14 novembre 2021;Alessandria;0;0;1;0;0
8-14 novembre 2021;Asti;0;0;3;3;0
;;;;;;
15-21 novembre 2021;Biella;0;0;1;0;0
15-21 novembre 2021;Torino città;0;0;0;5;3
15-21 novembre 2021;Torino Area metropolitana;0;2;13;9;5
15-21 novembre 2021;Cuneo;0;0;5;4;1
15-21 novembre 2021;Vco;0;0;1;0;0
15-21 novembre 2021;Novara;1;0;4;3;1
15-21 novembre 2021;Vercelli;0;1;1;2;1
15-21 novembre 2021;Alessandria;0;2;8;2;0
15-21 novembre 2021;Asti;0;0;2;3;0
;;;;;;
22-28 novembre 2021;Biella;0;0;0;1;0
22-28 novembre 2021;Torino città;1;1;6;3;10
22-28 novembre 2021;Torino Area metropolitana;0;1;13;2;1
22-28 novembre 2021;Cuneo;0;0;9;3;0
22-28 novembre 2021;Vco;0;0;1;0;0
22-28 novembre 2021;Novara;1;6;4;3;1
22-28 novembre 2021;Vercelli;0;0;2;3;1
22-28 novembre 2021;Alessandria;1;0;6;3;2
22-28 novembre 2021;Asti;0;0;7;0;1
;;;;;;
29 novembre - 5 dicembre 2021;Biella;0;0;2;4;0
29 novembre - 5 dicembre 2021;Torino città;0;1;15;5;8
29 novembre - 5 dicembre 2021;Torino Area metropolitana;0;1;14;9;2
29 novembre - 5 dicembre 2021;Cuneo;0;1;16;9;2
29 novembre - 5 dicembre 2021;Vco;0;0;2;1;0
29 novembre - 5 dicembre 2021;Novara;0;3;12;2;5
29 novembre - 5 dicembre 2021;Vercelli;0;0;1;1;0
29 novembre - 5 dicembre 2021;Alessandria;0;0;4;2;1
29 novembre - 5 dicembre 2021;Asti;0;0;4;0;0
;;;;;;
6-12 dicembre 2021;Biella;0;0;3;2;1
6-12 dicembre 2021;Torino città;3;3;14;7;9
6-12 dicembre 2021;Torino Area metropolitana;0;0;29;5;7
6-12 dicembre 2021;Cuneo;0;3;19;9;1
6-12 dicembre 2021;Vco;0;1;2;0;0
6-12 dicembre 2021;Novara;0;0;19;5;1
6-12 dicembre 2021;Vercelli;0;1;2;3;0
6-12 dicembre 2021;Alessandria;0;2;4;7;2
6-12 dicembre 2021;Asti;0;0;7;1;0
;;;;;;
13-19 dicembre 2021;Biella;0;0;2;0;2
13-19 dicembre 2021;Torino città;2;8;14;5;6
13-19 dicembre 2021;Torino Area metropolitana;0;0;22;13;4
13-19 dicembre 2021;Cuneo;1;3;13;5;8
13-19 dicembre 2021;Vco;0;0;0;1;0
13-19 dicembre 2021;Novara;0;2;29;6;3
13-19 dicembre 2021;Vercelli;0;0;4;3;1
13-19 dicembre 2021;Alessandria;0;2;2;1;1
13-19 dicembre 2021;Asti;0;0;3;4;2
;;;;;;
20-26 dicembre 2021;Biella;0;1;1;0;0
