Tipo;B.1.1.7;B.1.351;P.1;P.2;B.1.525;B.1.1.7 + E484K;B.1.617.1/2;Altro lignaggio/non indicato
Caso autoctono;16.775;188;1.381;9;235;6;2;4.317
Caso importato da paese estero;152;4;7;0;37;0;3;54
;;;;;;;;
Tipo;B.1.1.7;B.1.351;P.1;P.2;B.1.525;B.1.1.7 + E484K;B.1.617.1/2;Altro lignaggio/non indicato
Caso autoctono;99,10%;97,92%;99,50%;100,00%;86,40%;100,00%;40,00%;98,76%
Caso importato da paese estero;0,90%;2,08%;0,50%;0,00%;13,60%;0,00%;60,00%;1,24%
