Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;92.052;216.338;940.968;380.909;1.630.267
2021-43;92.060;216.556;949.717;384.630;1.642.963
2021-44;91.548;215.980;953.723;385.818;1.647.069
2021-45;91.077;214.859;966.197;390.756;1.662.889
2021-46;89.658;211.519;953.313;384.481;1.638.971
2021-47;89.388;211.435;949.307;383.786;1.633.916
2021-48;85.164;201.627;915.850;369.518;1.572.159
2021-49;82.752;195.984;890.926;361.824;1.531.486
2021-50;79.085;186.801;836.229;341.218;1.443.333
2021-51;68.336;162.668;740.824;299.619;1.271.447
2021-52;47.660;115.937;533.685;214.064;911.346
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
