Macroarea;Casi notificati al 26/01/2022;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;47663;454
Nord-Ovest;48101;454
Centro;33874;453
Sud e Isole;37.568;456
TOTALE;167.206;1.817
