Settimana;Comune;Casi
29/11/2021 - 05/12/2021;TRIGGIANO;0
29/11/2021 - 05/12/2021;TURI;1
29/11/2021 - 05/12/2021;VALENZANO;1
;;
06/12/2021 - 12/12/2021;ACQUAVIVA;6
06/12/2021 - 12/12/2021;ADELFIA;0
06/12/2021 - 12/12/2021;ALBEROBELLO;0
06/12/2021 - 12/12/2021;ALTAMURA;37
06/12/2021 - 12/12/2021;BARI;41
06/12/2021 - 12/12/2021;BINETTO;0
06/12/2021 - 12/12/2021;BITETTO;0
06/12/2021 - 12/12/2021;BITONTO;0
06/12/2021 - 12/12/2021;BITRITTO;0
06/12/2021 - 12/12/2021;CAPURSO;0
06/12/2021 - 12/12/2021;CASAMASSIMA;0
06/12/2021 - 12/12/2021;CASSANO M.;0
06/12/2021 - 12/12/2021;CASTELLANA G.;1
06/12/2021 - 12/12/2021;CELLAMARE;0
06/12/2021 - 12/12/2021;CONVERSANO;3
06/12/2021 - 12/12/2021;CORATO;0
06/12/2021 - 12/12/2021;GIOIA DEL COLLE;0
06/12/2021 - 12/12/2021;GIOVINAZZO;0
06/12/2021 - 12/12/2021;GRAVINA IN P.;9
06/12/2021 - 12/12/2021;GRUMO APPULA;0
06/12/2021 - 12/12/2021;LOCOROTONDO;0
06/12/2021 - 12/12/2021;MODUGNO;3
06/12/2021 - 12/12/2021;MOLA DI BARI;4
06/12/2021 - 12/12/2021;MOLFETTA;0
06/12/2021 - 12/12/2021;MONOPOLI;26
06/12/2021 - 12/12/2021;NOCI;0
06/12/2021 - 12/12/2021;NOICATTARO;2
06/12/2021 - 12/12/2021;PALO DEL C.;0
06/12/2021 - 12/12/2021;POGGIORSINI;0
06/12/2021 - 12/12/2021;POLIGNANO;1
06/12/2021 - 12/12/2021;PUTIGNANO;0
06/12/2021 - 12/12/2021;RUTIGLIANO;10
06/12/2021 - 12/12/2021;RUVO DI P.;0
06/12/2021 - 12/12/2021;SAMMICHELE DI B.;0
06/12/2021 - 12/12/2021;SANNICANDRO DI B.;0
06/12/2021 - 12/12/2021;SANTERAMO IN C.;0
06/12/2021 - 12/12/2021;TERLIZZI;0
06/12/2021 - 12/12/2021;TORITTO;0
06/12/2021 - 12/12/2021;TRIGGIANO;2
06/12/2021 - 12/12/2021;TURI;2
06/12/2021 - 12/12/2021;VALENZANO;0
;;
13/12/2021 - 19/12/2021;ACQUAVIVA;7
13/12/2021 - 19/12/2021;ADELFIA;1
13/12/2021 - 19/12/2021;ALBEROBELLO;0
13/12/2021 - 19/12/2021;ALTAMURA;28
13/12/2021 - 19/12/2021;BARI;60
13/12/2021 - 19/12/2021;BINETTO;0
13/12/2021 - 19/12/2021;BITETTO;3
13/12/2021 - 19/12/2021;BITONTO;0
13/12/2021 - 19/12/2021;BITRITTO;2
13/12/2021 - 19/12/2021;CAPURSO;0
13/12/2021 - 19/12/2021;CASAMASSIMA;2
13/12/2021 - 19/12/2021;CASSANO M.;0
13/12/2021 - 19/12/2021;CASTELLANA G.;1
13/12/2021 - 19/12/2021;CELLAMARE;1
13/12/2021 - 19/12/2021;CONVERSANO;4
13/12/2021 - 19/12/2021;CORATO;8
13/12/2021 - 19/12/2021;GIOIA DEL COLLE;0
13/12/2021 - 19/12/2021;GIOVINAZZO;0
13/12/2021 - 19/12/2021;GRAVINA IN P.;6
13/12/2021 - 19/12/2021;GRUMO APPULA;1
13/12/2021 - 19/12/2021;LOCOROTONDO;2
13/12/2021 - 19/12/2021;MODUGNO;2
13/12/2021 - 19/12/2021;MOLA DI BARI;3
13/12/2021 - 19/12/2021;MOLFETTA;13
13/12/2021 - 19/12/2021;MONOPOLI;21
13/12/2021 - 19/12/2021;NOCI;1
