variant;number_sequenced;percent_variant;variant_sex_female;percent_variant_female;variant_sex_male;percent_variant_male;native_case;imported_case
B.1.1.7;23.345;74,92;11.712;75,37;11.633;74,49;23.162;183
B.1.351;227;0,73;111;0,71;116;0,74;219;8
P.1;2.028;6,51;1.015;6,53;1.013;6,49;2.016;12
P.2;2;0,01;0;0;2;0,01;2;0
B.1.525;364;1,17;144;0,93;220;1,41;313;51
B.1.1.7 + E484K;22;0,07;12;0,08;10;0,06;22;0
B.1.617.1/2;272;0,87;130;0,84;142;0,91;237;35
Altro lignaggio/non indicato;4.898;15,72;2.416;15,54;2.482;15,89;4.796;102
