variant;number_sequenced;percent_cases_sequenced
B.1.1.7;20.045;71,69
B.1.351;38;0,14
P.1;399;1,43
P.2;3;0,01
B.1.525;346;1,24
B.1.1.7 + E484K;14;0,05
B.1.617.1/2b;263;0,94
P.1.1;950;3,4
Altro lignaggio;5.903;21,11
