variant;number_sequenced;percent_cases_sequenced
B.1.1.7;2.915;68,16
B.1.351;17;0,4
P.1;67;1,57
B.1.617.2 ;217;5,07
P.2;4;0,09
B.1.525;121;2,83
B.1.617.1;4;0,09
B.1.1.7 + E484K;9;0,21
Other;923;21,58
