variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;28.118;30,4;114;1,2;14.040;30,5;58;1,2;14.078;30,4;56;1,3;20.859;114;341;0
B.1.1.7 + E484K;75;0,1;0;0;37;0,1;0;0;38;0,1;0;0;73;0;0;0
B.1.351;289;0,3;0;0;134;0,3;0;0;155;0,3;0;0;263;0;11;0
P.1;2.858;3,1;8;0,1;1.404;3;4;0,1;1.454;3,1;4;0,1;2.258;8;39;0
B.1.617.2;48.912;52,9;6.134;66,7;24.367;52,9;3.195;66,4;24.545;52,9;2.939;67;42.114;5.410;1.877;45
B.1.1.529 ;1437;1,6;1426;15,5;769;1,7;762;15,8;668;1,4;664;15,1;1290;1.281;46;44
B.1.525;485;0,5;1;<0,1;192;0,4;0;0;293;0,6;1;<0,1;359;1;102;0
B.1.617.1;633;0,7;59;0,6;329;0,7;29;0,6;304;0,7;30;0,7;630;59;2;0
B.1.617.3;31;<0,1;0;0;20;<0,1;0;0;11;<0,1;0;0;26;0;5;0
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Other;9.603;10,4;1455;15,8;4.787;10,4;765;15,9;4.816;10,4;690;15,7;8.325;1.352;260;11
