Nomenclatura OMS;Lignaggio;Numero di sequenze;%
Alfa;B.1.1.7;23.744;41,42
Alfa;B.1.1.7 + E484K;28;0,05
Alfa;Q.2;1.790;3,12
Beta;B.1.351;67;0,12
Beta;B.1.351.3;42;0,07
Gamma;P.1;816;1,42
Gamma;P.1.1;1.759;3,07
Delta;B.1.617.2;8.990;15,68
Delta;AY.4;5.115;8,92
Delta;AY.5;287;0,5
Delta;AY.6;338;0,59
Delta;AY.7.2;560;0,98
Delta;AY.9;378;0,66
Delta;AY.10;28;0,05
Delta;AY.12;198;0,35
Delta;AY.16;32;0,06
Delta;AY.20;43;0,08
Delta;AY.21;284;0,5
Delta;AY.23;35;0,06
Delta;AY.24;36;0,06
Delta;AY.25;30;0,05
Delta;AY.26;490;0,85
Delta;AY.32;451;0,79
Eta;B.1.525;448;0,78
Mu;B.1.621;63;0,11
;Altro lignaggio;11.275;19,67
Totale;;57.327;100
