Data;ATS;Scuola infanzia / nido (classi);Scuola infanzia / nido (alunni);Scuola primaria (classi);Scuola primaria (alunni);Scuola secondaria primo grado (classi);Scuola secondaria primo grado (alunni);Scuola secondaria - secondo grado (classi);Scuola secondaria - secondo grado (alunni);Totale classi;Totale alunni;;;;;;;;;;
07/02/2022-13/02/2022;324 - BRIANZA;10;134;20;256;15;252;13;262;58;904;;;;;;;;;;
07/02/2022-13/02/2022;325 - BERGAMO;25;134;57;255;36;302;48;485;166;1176;;;;;;;;;;
07/02/2022-13/02/2022;326 - BRESCIA;10;118;2;28;36;628;17;245;65;1019;;;;;;;;;;
07/02/2022-13/02/2022;327 - VALPADANA;13;130;16;201;18;307;17;308;64;946;;;;;;;;;;
07/02/2022-13/02/2022;328 - PAVIA;9;43;10;111;11;221;9;156;39;531;;;;;;;;;;
07/02/2022-13/02/2022;Totale (ATS);144;1.079;270;2018;241;3456;199;2788;854;9341;;;;;;;;;;
14/02/2022-20/02/2022;321 - MILANO;41;332;87;549;49;677;47;559;224;2117;;;;;;;;;;
14/02/2022-20/02/2022;322 - INSUBRIA;6;100;16;303;27;544;20;427;111;1879;;;;;;;;;;
14/02/2022-20/02/2022;323 - MONTAGNA;0;0;0;0;3;66;4;94;7;160;;;;;;;;;;
14/02/2022-20/02/2022;324 - BRIANZA;6;71;10;160;16;268;6;136;38;635;;;;;;;;;;
14/02/2022-20/02/2022;325 - BERGAMO;18;40;35;152;32;325;26;320;111;837;;;;;;;;;;
14/02/2022-20/02/2022;326 - BRESCIA;5;48;3;23;26;339;8;166;42;576;;;;;;;;;;
14/02/2022-20/02/2022;327 - VALPADANA;9;107;5;93;14;229;8;153;36;582;;;;;;;;;;
14/02/2022-20/02/2022;328 - PAVIA;8;72;6;41;3;37;13;192;30;342;;;;;;;;;;
14/02/2022-20/02/2022;Totale (ATS);93;770;162;1321;170;2485;132;2047;599;7128;;;;;;;;;;
21/02/2022-27/02/2022;321 - MILANO;24;95;60;139;65;886;389;463;187;1583;;;;;;;;;;
21/02/2022-27/02/2022;322 - INSUBRIA;5;86;7;149;24;485;22;395;58;1.115;;;;;;;;;;
21/02/2022-27/02/2022;323 - MONTAGNA;2;38;0;0;4;94;5;92;11;224;;;;;;;;;;
21/02/2022-27/02/2022;324 - BRIANZA;8;75;3;37;10;165;4;70;26;351;;;;;;;;;;
21/02/2022-27/02/2022;325 - BERGAMO;9;39;32;57;31;319;19;283;91;697;;;;;;;;;;
21/02/2022-27/02/2022;326 - BRESCIA;9;143;2;31;9;187;7;118;27;479;;;;;;;;;;
21/02/2022-27/02/2022;327 - VALPADANA;7;81;6;92;16;287;7;134;36;594;;;;;;;;;;
21/02/2022-27/02/2022;328 - PAVIA;0;0;6;25;5;59;7;107;18;191;;;;;;;;;;
21/02/2022-27/02/2022;Totale (ATS);64;557;116;530;164;2482;460;1662;454;5.234;;;;;;;;;;
28/02/2022-06/03/2022;321 - MILANO;15;63;23;76;40;436;27;364;105;939;;;;;;;;;;
