Eta;Popolazione (01/01/2020);06/09/2021 - 12/09/2021;13/09/2021 - 19/09/2021;20/09/2021 - 26/09/2021;27/09/2021 - 03/10/2021;04/10/2021 - 10/10/2021;11/10/2021 - 17/10/2021;18/10/2021 - 24/10/2021;25/10/2021 - 31/10/2021;01/11/2021 - 07/11/2021;08/11/2021 - 14/11/2021;15/11/2021 - 21/11/2021;22/11/2021 - 28/11/2021;29/11/2021 - 05/12/2021;06/12/2021 - 12/12/2021;13/12/2021 - 19/12/2021;20/12/2021 - 26/12/2021;27/12/2021 - 02/01/2022;03/01/2022 - 09/01/2022;10/01/2022 - 16/01/2022;17/01/2022 - 23/01/2022;24/01/2022 - 30/01/2022;30/01/2022 - 06/02/2022;07/02/2022 - 13/02/2022;14/02/2022 - 20/02/2022;21/02/2022 - 27/02/2022;28/02/2022 - 06/03/2022;07/03/2022 - 13/03/2022;14/03/2022 - 20/03/2022;21/03/2022 - 27/03/2022;28/03/2022 - 03/04/2022
0_2;117219;40;41;40;28;21;19;24;32;35;46;69;77;119;129;169;338;976;1324;1726;2373;1776;1067;716;480;367;259;320;456;520;549
3_5;130595;36;48;41;41;27;29;35;57;54;79;121;156;182;223;318;488;1091;1498;2732;4770;3379;1806;1069;670;476;339;366;505;604;521
6_10;242538;44;45;53;41;35;32;58;64;88;176;315;402;453;541;795;1258;2545;2772;3807;4757;3427;1934;1024;716;601;443;515;771;930;862
11_13;151733;57;46;39;32;35;27;32;50;63;106;182;222;274;325;500;946;2803;3312;3403;3328;2422;1420;829;585;523;428;529;701;855;812
14_18;244464;47;35;30;23;18;18;20;26;29;58;86;109;152;172;459;1252;3966;4428;3518;2708;1846;1006;566;411;334;319;504;524;560;548
