Giorno;Positivi;Positivi_non_consolidati;Sintomatici;Sintomatici_non_consolidati
24/06/20;0,880177444;;0,909870849;
25/06/20;0,8745196;;0,905395538;
26/06/20;0,870974776;;0,901638674;
27/06/20;0,868606512;;0,897423245;
28/06/20;0,870956154;;0,896092331;
29/06/20;0,870469673;;0,892555692;
30/06/20;0,876968001;;0,895482484;
01/07/20;0,889638999;;0,904800003;
02/07/20;0,904511875;;0,917236181;
03/07/20;0,912880942;;0,926039184;
04/07/20;0,924788442;;0,937213089;
05/07/20;0,940423863;;0,951524104;
06/07/20;0,95477922;;0,964899888;
07/07/20;0,969536895;;0,979621981;
08/07/20;0,984132128;;0,995178579;
09/07/20;0,99604112;;1,010028835;
10/07/20;1,008020625;;1,02589771;
11/07/20;1,021756395;;1,043426157;
12/07/20;1,034365079;;1,058476498;
13/07/20;1,042642487;;1,068687545;
14/07/20;1,049453466;;1,076749121;
15/07/20;1,05427165;;1,084130849;
16/07/20;1,05661441;;1,089312736;
17/07/20;1,057002273;;1,093408557;
18/07/20;1,058389562;;1,096883657;
19/07/20;1,060099154;;1,098987455;
20/07/20;1,065831926;;1,103829612;
21/07/20;1,075127904;;1,110961999;
22/07/20;1,083134916;;1,115176799;
23/07/20;1,092274003;;1,119971793;
24/07/20;1,097656139;;1,122122232;
25/07/20;1,104311178;;1,127056802;
26/07/20;1,110649515;;1,131513544;
27/07/20;1,115197876;;1,134462984;
28/07/20;1,122809862;;1,140620924;
29/07/20;1,12530637;;1,141256482;
30/07/20;1,12421727;;1,138630975;
31/07/20;1,122953448;;1,13562613;
01/08/20;1,123693239;;1,13662752;
02/08/20;1,123948465;;1,137324396;
03/08/20;1,131070152;;1,144273958;
04/08/20;1,13980053;;1,15331945;
05/08/20;1,150686312;;1,164808924;
06/08/20;1,166670106;;1,181407416;
07/08/20;1,181210986;;1,195701068;
08/08/20;1,202366206;;1,215719229;
09/08/20;1,22295728;;1,235837872;
10/08/20;1,247318524;;1,258718327;
11/08/20;1,269721383;;1,279672545;
12/08/20;1,290916181;;1,299351425;
13/08/20;1,311589848;;1,318298815;
14/08/20;1,32766902;;1,333308798;
15/08/20;1,344436511;;1,349905164;
16/08/20;1,357992199;;1,364373055;
17/08/20;1,377476613;;1,385947095;
18/08/20;1,402645846;;1,413646259;
19/08/20;1,428672268;;1,443387918;
20/08/20;1,451265591;;1,47017071;
21/08/20;1,472323932;;1,494566137;
22/08/20;1,489301741;;1,51426361;
23/08/20;1,500365618;;1,52900056;
24/08/20;1,509401845;;1,540193787;
25/08/20;1,511480588;;1,542361474;
26/08/20;1,505519999;;1,534465124;
27/08/20;1,491949529;;1,516999398;
28/08/20;1,46997164;;1,489911405;
29/08/20;1,43498054;;1,449025187;
30/08/20;1,390214193;;1,39850887;
31/08/20;1,34237487;;1,345648754;
01/09/20;1,299750637;;1,298651853;
02/09/20;1,257749439;;1,252758308;
03/09/20;1,216520169;;1,207780001;
04/09/20;1,179172054;;1,167589672;
05/09/20;1,141709136;;1,12826542;
06/09/20;1,10647193;;1,092228775;
07/09/20;1,079864854;;1,065892856;
08/09/20;1,059620373;;1,046214526;
09/09/20;1,045777135;;1,033851583;
10/09/20;1,039925282;;1,030090598;
11/09/20;1,040340668;;1,032297097;
12/09/20;1,044842995;;1,039057125;
13/09/20;1,052150929;;1,048619137;
14/09/20;1,062712232;;1,061056028;
15/09/20;1,075641679;;1,075602899;
16/09/20;1,089758732;;1,090986281;
17/09/20;1,104664583;;1,107186812;
18/09/20;1,118854729;;1,122312075;
19/09/20;1,13185922;;1,1357338;
20/09/20;1,141664066;;1,145019339;
21/09/20;1,149714953;;1,151902125;
22/09/20;1,155277023;;1,155947942;
23/09/20;1,157108209;;1,156462121;
24/09/20;1,155639985;;1,153968038;
25/09/20;1,152426728;;1,150516917;
26/09/20;1,149766579;;1,147967597;
27/09/20;1,148477337;;1,146753849;
28/09/20;1,1521385;;1,150950131;
29/09/20;1,15555536;;1,154563668;
30/09/20;1,165890144;;1,164986754;
01/10/20;1,190733985;;1,188892781;
02/10/20;1,224019052;;1,220363807;
03/10/20;1,265744042;;1,260483685;
04/10/20;1,313446306;;1,306439229;
05/10/20;1,369412926;;1,359821908;
06/10/20;1,42924086;;1,416456705;
07/10/20;1,492634791;;1,475708448;
08/10/20;1,553503612;;1,532223473;
09/10/20;1,613513265;;1,587305233;
10/10/20;1,668780502;;1,638159516;
11/10/20;1,711287819;;1,676480228;
12/10/20;1,750729908;;1,7104684;
