Macroarea;Casi notificati al 16/02/2021;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;2.625;265
Nord-Ovest;2.692;266
Centro;1.848;254
Sud e Isole;3.221;273
TOTALE;10.386;1.058
