Macroarea;Casi notificati al 19/08/2021;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;1.295;340
Nord-Ovest;1.104;327
Centro;1.704;364
Sud e Isole;3.157;404
TOTALE;7.260;1.435
