Macroarea;Casi notificati al 28/04/2022;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;15101;446
Nord-Ovest;13876;444
Centro;13705;444
Sud e Isole;26522;453
TOTALE;69204;1787
