variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;27.904;41,9;3;<0,1;13.945;42,8;1;<0,1;13.959;41;2;0,1;27.652;3;252;0
B.1.1.7 + E484K;75;0,1;0;0;37;0,1;0;0;38;0,1;0;0;75;0;0;0
B.1.351;290;0,4;3;<0,1;135;0,4;1;<0,1;155;0,5;2;0,1;279;3;11;0
P.1;2.849;4,3;0;0;1.396;4,3;0;0;1.453;4,3;0;0;2.815;0;34;0
B.1.617.2;27.576;41,4;6.598;90,8;13.205;40,5;3.454;90,8;14.371;42,2;3.144;90,8;26.064;6.346;1.512;252
B.1.525;454;0,7;0;0;182;0,6;0;0;272;0,8;0;0;372;0;82;0
B.1.617.1;410;0,6;106;1,5;205;0,6;57;1,5;205;0,6;49;1,4;408;106;2;0
B.1.617.3;31;<0,1;0;0;20;0,1;0;0;11;<0,1;0;0;26;0;5;0
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Other;7.026;10,5;558;7,7;3.449;10,6;293;7,7;3.577;10,5;265;7,7;6.838;550;188;8
