variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;18.282;33,36;12;0,17
B.1.1.7 + E484K;32;0,06;0;0
Q.1;138;0,25;0;0
Q.2;1.005;1,83;1;0,01
Q.4;1;<0,01;0;0
20I (Alpha, V1);585;1,07;0;0
B.1.351;52;0,09;1;0,01
B.1.351.2;9;0,02;0;0
B.1.351.3;41;0,07;0;0
20H (Beta, V2);23;0,04;1;0,01
P.1;436;0,8;0;0
P.1.1;1.719;3,14;0;0
P.1.2;1;<0,01;0;0
P.1.4;3;0,01;0;0
P.1.7;287;0,52;0;0
P.1.10;1;<0,01;0;0
20J (Gamma, V3);137;0,25;0;0
B.1.617.2;13.840;25,25;3634;51,07
AY.1;9;0,02;2;0,03
AY.3;10;0,02;3;0,04
AY.4;5.719;10,43;1502;21,11
AY.4.1;68;0,12;65;0,91
AY.5;341;0,62;185;2,6
AY.5.2;1;<0,01;1;0,01
AY.6;753;1,37;69;0,97
AY.7;285;0,52;3;0,04
AY.7.1;86;0,16;37;0,52
AY.7.2;326;0,59;70;0,98
AY.8;3;0,01;2;0,03
AY.9;558;1,02;107;1,5
AY.10;42;0,08;17;0,24
AY.11;35;0,06;0;0
AY.12;2.499;4,56;253;3,56
AY.13;1;<0,01;1;0,01
AY.14;38;0,07;18;0,25
AY.15;2;<0,01;0;0
AY.16;12;0,02;3;0,04
AY.17;7;0,01;3;0,04
AY.19;14;0,03;8;0,11
AY.20;57;0,1;26;0,37
AY.21;219;0,4;2;0,03
AY.22;6;0,01;3;0,04
AY.23;67;0,12;54;0,76
AY.24;7;0,01;0;0
AY.25;51;0,09;19;0,27
AY.26;282;0,51;195;2,74
AY.27;4;0,01;3;0,04
AY.28;3;0,01;2;0,03
AY.29;5;0,01;2;0,03
AY.30;1;<0,01;0;0
AY.32;146;0,27;133;1,87
AY.33;118;0,22;101;1,42
AY.34;173;0,32;161;2,26
AY.36;18;0,03;16;0,22
AY.37;36;0,07;33;0,46
AY.38;3;0,01;2;0,03
21A (Delta);1.807;3,3;348;4,89
B.1.525;421;0,77;0;0
21D (Eta);49;0,09;1;0,01
B.1.617.1;19;0,03;0;0
C.37;14;0,03;0;0
C.37.1;5;0,01;0;0
B.1.621;62;0,11;0;0
B.1.621.1;18;0,03;0;0
P.2;5;0,01;0;0
Other;3.811;6,95;17;0,24
