variant;number_sequenced;percent_cases_sequenced
B.1.1.7;23.898;38,57
B.1.1.7 + E484K;28;0,05
Q.1;170;0,27
Q.2;1.771;2,86
B.1.351;71;0,11
B.1.351.3;39;0,06
P.1;182;0,29
P.1.1;2.387;3,85
B.1.617.2;10.038;16,2
AY.4;5.980;9,65
AY.4.1;51;0,08
AY.5;378;0,61
AY.6;403;0,65
AY.7.1;156;0,25
AY.7.2;588;0,95
AY.9;485;0,78
AY.14;34;0,05
AY.16;61;0,1
AY.20;54;0,09
AY.21;283;0,46
AY.23;74;0,12
AY.24;29;0,05
AY.25;45;0,07
AY.26;490;0,79
AY.33;296;0,48
AY.34;1.925;3,11
AY.36;38;0,06
AY.37;337;0,54
B.1.525;448;0,72
B.1.621;64;0,1
Other;10.961;17,69
