Tipo;B.1.1.7;B.1.351;P.1;P.2;B.1.525;B.1.1.7 + E484K;B.1.617.1/2;Altro lignaggio/non indicato
Caso autoctono;21.119;208;1.772;9;292;11;68;4.646
Caso importato da paese estero;169;7;8;0;46;0;23;48
;;;;;;;;
Tipo;B.1.1.7;B.1.351;P.1;P.2;B.1.525;B.1.1.7 + E484K;B.1.617.1/2;Altro lignaggio/non indicato
Caso autoctono;99,21%;96,74%;99,55%;100,00%;86,39%;100,00%;74,73%;98,98%
Caso importato da paese estero;0,79%;3,26%;0,45%;0,00%;13,61%;0,00%;25,27%;1,02%
