Giorno;Positivi;Sintomatici;Positivi_non_consolidati;Sintomatici_non_consolidati
24/06/20;0,880459751;;0,905680875;
25/06/20;0,874854037;;0,90118813;
26/06/20;0,871322228;;0,897422132;
27/06/20;0,868912692;;0,893576981;
28/06/20;0,871218931;;0,893013639;
29/06/20;0,870690462;;0,890041341;
30/06/20;0,877143338;;0,893643035;
01/07/20;0,889763756;;0,903641547;
02/07/20;0,90458356;;0,917100801;
03/07/20;0,91290315;;0,926548506;
04/07/20;0,92475756;;0,93820588;
05/07/20;0,940336203;;0,952808025;
06/07/20;0,954634666;;0,966076612;
07/07/20;0,96933402;;0,980804435;
08/07/20;0,983870307;;0,996165915;
09/07/20;0,995740723;;1,010819999;
10/07/20;1,007731876;;1,026311665;
11/07/20;1,02134988;;1,043073708;
12/07/20;1,033866444;;1,057401583;
13/07/20;1,042079192;;1,067130833;
14/07/20;1,048854995;;1,074916194;
15/07/20;1,053660671;;1,082021019;
16/07/20;1,056016781;;1,08704338;
17/07/20;1,056446322;;1,091108214;
18/07/20;1,057897908;;1,094668275;
19/07/20;1,059696545;;1,096979213;
20/07/20;1,065541463;;1,10212811;
21/07/20;1,074970339;;1,109296124;
22/07/20;1,083134916;;1,113660154;
23/07/20;1,092274003;;1,118504827;
24/07/20;1,097656139;;1,120782239;
25/07/20;1,104311178;;1,125707151;
26/07/20;1,110649515;;1,130136992;
27/07/20;1,115197876;;1,133130828;
28/07/20;1,122809862;;1,139428168;
29/07/20;1,12530637;;1,140448438;
30/07/20;1,12421727;;1,13802701;
31/07/20;1,122953448;;1,135225686;
01/08/20;1,123693239;;1,136422715;
02/08/20;1,123948465;;1,137315806;
03/08/20;1,131070152;;1,144675099;
04/08/20;1,13980053;;1,15402335;
05/08/20;1,150586392;;1,165729072;
06/08/20;1,166487791;;1,182460987;
07/08/20;1,180964697;;1,19681469;
08/08/20;1,202074078;;1,216902637;
09/08/20;1,222636284;;1,237073316;
10/08/20;1,24698628;;1,259788495;
11/08/20;1,269394472;;1,280349875;
12/08/20;1,290610884;;1,299626164;
13/08/20;1,311322782;;1,318198728;
14/08/20;1,327524214;;1,33303543;
15/08/20;1,344415365;;1,349395444;
16/08/20;1,358096051;;1,36357242;
17/08/20;1,377707088;;1,384951953;
18/08/20;1,403005275;;1,412534064;
19/08/20;1,429083983;;1,442178902;
20/08/20;1,451706117;;1,468896223;
21/08/20;1,472771855;;1,493343219;
22/08/20;1,489738203;;1,513178903;
23/08/20;1,500808978;;1,528010392;
24/08/20;1,509791136;;1,539303168;
25/08/20;1,511798237;;1,541620246;
26/08/20;1,505749995;;1,533814762;
27/08/20;1,492078737;;1,516336718;
28/08/20;1,470040327;;1,489387132;
29/08/20;1,434989495;;1,448660341;
30/08/20;1,390193462;;1,398343096;
31/08/20;1,342320987;;1,345596433;
01/09/20;1,299659919;;1,298652673;
02/09/20;1,25764502;;1,252785082;
03/09/20;1,216405875;;1,207808306;
04/09/20;1,179051086;;1,167631493;
05/09/20;1,141585331;;1,128272596;
06/09/20;1,10633674;;1,092204036;
07/09/20;1,079720873;;1,065827985;
08/09/20;1,059474136;;1,046137256;
09/09/20;1,04563498;;1,033766056;
10/09/20;1,039793925;;1,030023532;
11/09/20;1,040196921;;1,032184712;
12/09/20;1,044690633;;1,038910713;
13/09/20;1,051956155;;1,048408882;
14/09/20;1,062494709;;1,060794212;
15/09/20;1,075419316;;1,075330867;
16/09/20;1,089542185;;1,090722134;
17/09/20;1,104485834;;1,106991275;
18/09/20;1,118721508;;1,122181393;
19/09/20;1,131779519;;1,135687267;
20/09/20;1,14162574;;1,145044344;
21/09/20;1,149721287;;1,151968035;
22/09/20;1,155327936;;1,156065767;
23/09/20;1,157203319;;1,156610659;
24/09/20;1,155778888;;1,154158962;
25/09/20;1,152609011;;1,150762404;
26/09/20;1,149992242;;1,148264112;
27/09/20;1,148683509;;1,147057224;
28/09/20;1,152282274;;1,151172914;
29/09/20;1,155646311;;1,154704184;
30/09/20;1,165959955;;1,165034113;
01/10/20;1,190799211;;1,188876317;
02/10/20;1,224074139;;1,220293304;
03/10/20;1,265783607;;1,260390413;
04/10/20;1,313467458;;1,306307442;
05/10/20;1,369392696;;1,359651027;
06/10/20;1,429159084;;1,416225729;
07/10/20;1,492506024;;1,475464773;
08/10/20;1,553349461;;1,532007861;
09/10/20;1,61338124;;1,587120774;
10/10/20;1,668666194;;1,637976835;
11/10/20;1,711223873;;1,676337563;
12/10/20;1,750686352;;1,710346414;
13/10/20;1,776319656;;1,729999953;
14/10/20;1,79329986;;1,740391659;
15/10/20;1,808575367;;1,748105848;
16/10/20;1,820148208;;1,751327881;
17/10/20;1,823268914;;1,747545144;
18/10/20;1,814266769;;1,734135493;
19/10/20;1,808343314;;1,723569738;
20/10/20;1,801128989;;1,712146062;
21/10/20;1,790746656;;1,698521448;
22/10/20;1,77676573;;1,682753293;
23/10/20;1,761242334;;1,66526098;
24/10/20;1,740842569;;1,645747843;
25/10/20;1,710108158;;1,619448433;
26/10/20;1,685351762;;1,597729135;
27/10/20;1,658987425;;1,575045468;
28/10/20;1,630886772;;1,551045453;
29/10/20;1,599645278;;1,522992503;
30/10/20;1,566529484;;1,493833209;
31/10/20;1,526177561;;1,458954935;
01/11/20;1,482289104;;1,422945483;
02/11/20;1,441694407;;1,390212164;
03/11/20;1,402538002;;1,359470532;
04/11/20;1,365499496;;1,329526316;
05/11/20;1,328383074;;1,299868552;
06/11/20;1,29279838;;1,271737146;
07/11/20;1,256085029;;1,242406527;
08/11/20;1,219198229;;1,212997929;
09/11/20;1,185614691;;1,186564162;
10/11/20;1,155001173;;1,162840448;
11/11/20;1,12583468;;1,140274871;
12/11/20;1,09850756;;1,118273189;
13/11/20;1,073437037;;1,097593772;
14/11/20;1,050384571;;1,077000471;
15/11/20;1,028940633;;1,057080622;
16/11/20;1,009305703;;1,038166026;
17/11/20;0,988577348;;1,017555365;
18/11/20;0,969154048;;0,997572399;
19/11/20;0,950557086;;0,976818771;
20/11/20;0,932937141;;0,957092208;
21/11/20;0,916162179;;0,93714498;
22/11/20;0,899662724;;0,91670966;
23/11/20;0,88185128;;0,895856322;
24/11/20;0,864422426;;0,875429183;
25/11/20;0,847544454;;0,85619576;
26/11/20;0,830874253;;0,838669887;
27/11/20;0,814863661;;0,822992109;
28/11/20;0,802598654;;0,811814925;
29/11/20;0,790857532;;0,800977969;
30/11/20;0,779925615;;0,792080715;
01/12/20;0,774637784;;0,789246932;
02/12/20;0,770861166;;0,789710082;
03/12/20;0,769794844;;0,793768661;
04/12/20;0,771382801;;0,800461671;
05/12/20;0,776372435;;0,810658908;
06/12/20;0,784361102;;0,823601782;
07/12/20;0,79361606;;0,836986151;
08/12/20;0,802169595;;0,849415982;
09/12/20;0,813490937;;0,863622725;
10/12/20;0,827203022;;0,879461895;
11/12/20;0,840555602;;0,893646447;
12/12/20;0,853137877;;0,90703932;
13/12/20;0,865395303;;0,91847726;
14/12/20;0,875627741;;0,927243469;
15/12/20;0,88581667;;0,934826068;
16/12/20;0,894403094;;0,940090255;
17/12/20;0,902456058;;0,94523391;
18/12/20;0,908830961;;0,947964922;
19/12/20;0,915683587;;0,951366462;
20/12/20;0,925954398;;0,957804873;
21/12/20;0,936022103;;0,963672951;
22/12/20;0,94674598;;0,970638672;
23/12/20;0,957906962;;0,977938385;
24/12/20;0,970001026;;0,986921455;
25/12/20;0,980919524;;0,99490185;
26/12/20;0,992144932;;1,003888774;
27/12/20;1,0077341;;1,017660435;
28/12/20;1,025521969;;1,033957054;
29/12/20;1,040634163;;1,047498204;
30/12/20;1,054253598;;1,059601463;
31/12/20;1,066070082;;1,069708888;
01/01/21;1,074555028;;1,077243043;
02/01/21;1,080923835;;1,082868957;
03/01/21;1,086622317;;1,088081248;
04/01/21;1,091093876;;1,092491577;
05/01/21;1,095264544;;1,095737747;
06/01/21;1,093770628;;1,093513118;
07/01/21;1,087191429;;1,086440211;
08/01/21;1,076332258;;1,075268336;
09/01/21;1,060817944;;1,05949158;
10/01/21;1,042882081;;1,041439145;
11/01/21;1,021278309;;1,019919344;
12/01/21;0,997119122;;0,996020146;
13/01/21;0,971370509;;0,970446433;
14/01/21;0,945524479;;0,944841413;
15/01/21;0,920146207;;0,919856555;
16/01/21;0,896374975;;0,896595565;
17/01/21;0,873627182;;0,874343603;
18/01/21;0,853551018;;0,854837158;
19/01/21;0,836817522;;0,838813578;
20/01/21;0,825631641;;0,828264877;
21/01/21;0,818125465;;0,821321577;
22/01/21;0,817353694;;0,820925636;
23/01/21;0,822611956;;0,826280353;
24/01/21;0,831693292;;0,835342087;
25/01/21;0,842955792;;0,846430731;
26/01/21;0,856608473;;0,860165611;
27/01/21;0,872352883;;0,876272423;
28/01/21;0,890044036;;0,894660371;
29/01/21;0,908200904;;0,913047034;
30/01/21;0,926249614;;0,9310882;
31/01/21;0,943152216;;0,947690972;
01/02/21;0,958414289;;0,962623827;
02/02/21;0,96969221;;0,974201018;
03/02/21;0,980390343;;0,98497441;
04/02/21;0,988875879;;0,99330476;
05/02/21;0,995590566;;0,999760362;
06/02/21;1,001781789;;1,005709524;
07/02/21;1,006606586;;1,010098702;
08/02/21;1,010824905;;1,013812254;
09/02/21;1,014196485;;1,016728541;
10/02/21;1,018515249;;1,020885157;
11/02/21;1,021899509;;1,024206998;
12/02/21;1,024037869;;1,026304602;
13/02/21;1,025314292;;1,027386155;
14/02/21;1,026411376;;1,028258233;
15/02/21;1,028475394;;1,03015358;
16/02/21;1,031855907;;1,033267083;
17/02/21;1,036604021;;1,037702713;
18/02/21;1,044311124;;1,045067678;
19/02/21;1,053746058;;1,054046768;
20/02/21;1,065877814;;1,065657531;
21/02/21;1,079163163;;1,07859441;
22/02/21;1,095618213;;1,094690039;
23/02/21;1,11393482;;1,112562911;
24/02/21;1,133818903;;1,132047124;
25/02/21;1,153347189;;1,151040217;
26/02/21;1,172819107;;1,16993412;
27/02/21;1,190196169;;1,186828057;
28/02/21;1,204464443;;1,200944731;
01/03/21;1,218159596;;1,214631929;
02/03/21;1,228668985;;1,225002294;
03/03/21;1,235909649;;1,232041278;
04/03/21;1,239356857;;1,235338507;
05/03/21;1,23977318;;1,235491973;
06/03/21;1,236477547;;1,231876005;
07/03/21;1,228812803;;1,224411453;
08/03/21;1,221148728;;1,217036012;
09/03/21;1,211384533;;1,20741491;
10/03/21;1,200659414;;1,196683642;
11/03/21;1,188130474;;1,184110183;
12/03/21;1,174921992;;1,17086428;
13/03/21;1,160370435;;1,156458934;
14/03/21;1,143906625;;1,140494384;
15/03/21;1,129417901;;1,126486299;
16/03/21;1,114773661;;1,112242538;
17/03/21;1,099735752;;1,09761472;
18/03/21;1,084046296;;1,082268383;
19/03/21;1,068640779;;1,067182589;
20/03/21;1,053005618;;1,051917573;
21/03/21;1,037141633;;1,036435993;
22/03/21;1,022290973;;1,021842736;
23/03/21;1,008222226;;1,008017313;
24/03/21;0,994993471;;0,994946976;
25/03/21;0,983758274;;0,98384965;
26/03/21;0,973715623;;0,974024052;
27/03/21;0,964916427;;0,965388685;
28/03/21;0,95799979;;0,958567831;
29/03/21;0,949990378;;0,95058651;
30/03/21;0,942331932;;0,943047256;
31/03/21;0,933808639;;0,934630184;
01/04/21;0,926651107;;0,927558012;
02/04/21;0,91850373;;0,919578639;
03/04/21;0,909035929;;0,91030805;
04/04/21;0,899002541;;0,900275088;
05/04/21;0,885375402;;0,886771743;
06/04/21;0,873161153;;0,874837596;
07/04/21;0,861005809;;0,863102312;
08/04/21;0,850963524;;0,853478131;
09/04/21;0,841755971;;0,844681864;
10/04/21;0,835419738;;0,838747153;
11/04/21;0,83174094;;0,835219153;
12/04/21;0,828696549;;0,832398252;
13/04/21;0,82809501;;0,832128599;
14/04/21;0,829925262;;0,834370566;
15/04/21;0,833963026;;0,838807312;
16/04/21;0,84061924;;0,845837937;
17/04/21;0,848908294;;0,854337778;
18/04/21;0,860663514;;0,866044125;
19/04/21;0,872279425;;0,877520251;
20/04/21;0,883801721;;0,888938955;
21/04/21;0,89504336;;0,900084424;
22/04/21;0,905080376;;0,910072692;
23/04/21;0,914225792;;0,919115283;
24/04/21;0,922379929;;0,927220491;
25/04/21;0,929793903;;0,934359442;
26/04/21;0,933728909;;0,938008468;
27/04/21;0,934926316;;0,938806882;
28/04/21;0,934795359;;0,938285834;
29/04/21;0,929964921;;0,933163757;
30/04/21;0,921766663;;0,924741071;
01/05/21;0,913565181;;0,91641363;
02/05/21;0,905287476;;0,907931061;
03/05/21;0,897636224;;0,899954941;
04/05/21;0,887963616;;0,89003096;
05/05/21;0,876821314;;0,878768229;
06/05/21;0,86372345;;0,865593391;
07/05/21;0,850125284;;0,852025971;
08/05/21;0,835561598;;0,837503036;
09/05/21;0,821828686;;0,823732308;
10/05/21;0,806913224;;0,808814836;
11/05/21;0,792096069;;0,794117911;
12/05/21;0,778068982;;0,780341714;
13/05/21;0,765539986;;0,768152733;
14/05/21;0,754285927;;0,757101733;
15/05/21;0,745130201;;0,748026034;
