ATS;Scuola infanzia / nido;Scuola primaria;Scuola secondaria primo grado;Scuola secondaria - secondo grado;;;;;;;;;;;;;;
321 - MILANO;13,3;10,8;8,1;7,7;;;;;;;;;;;;;;
322 - INSUBRIA;13,5;12,3;11,5;7,3;;;;;;;;;;;;;;
323 - MONTAGNA;16,6;14,5;18,4;-;;;;;;;;;;;;;;
324 - BRIANZA;12,9;12,5;9,8;-;;;;;;;;;;;;;;
325 - BERGAMO;16,8;19,8;18,5;14,9;;;;;;;;;;;;;;
326 - BRESCIA;14,4;15,6;17,8;17,1;;;;;;;;;;;;;;
327 - VALPADANA;15,1;15,7;16,5;16,2;;;;;;;;;;;;;;
328 - PAVIA;1,2;2,0;1,3;-;;;;;;;;;;;;;;
Totale;13,9;13,4;11,5;9,8;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
