Data;Casi
13/09 - 19/09;247
20/09 - 26/09;452
27/09 - 03/10;472
04/10 - 10/10;383
11/10 - 17/10;309
18/10 - 24/10;475
25/10 - 31/10;603
1/11 - 7/11;621
8/11 - 14/11;938
15/11 - 21/11;1.349
22/11 - 28/11;1.615
28/11 - 5/12;2.031
6/12 - 12/12;2.001
13/12 - 19/12;2.170
