Macroarea;Casi notificati al 13/05/2021;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;1.304;340
Nord-Ovest;2.246;382
Centro;1.677;361
Sud e Isole;2.858;399
TOTALE;8.085;1.482
