;Infanzia;Primaria;Sec. 1-2 grado
N. Alunni rilevati;691.412;1.902.883;3.427.804
N. Alunni in presenza ;628.873;1.694.946;2.999.113
N. Alunni positivi o in quarantena ;62.539;207.937;428.691
% Alunni positivi o in quarantena;9;10,9;12,5
