variant;number_sequenced;percent_cases_sequenced
B.1.1.7;23.603;46,4
B.1.1.7 + E484K;25;0,05
Q.1;56;0,11
Q.2;1.597;3,14
Q.4;2;0
B.1.351;67;0,13
B.1.351.2;21;0,04
B.1.351.3;41;0,08
P.1;431;0,85
P.1.1;1.819;3,58
P.1.2;0;0
P.1.4;3;0,01
P.1.6;0;0
P.1.7;296;0,58
P.1.10;1;0
B.1.617.2;6.951;13,7
AY.1;1;0
AY.2;0;0
AY.3;5;0,01
AY.3.1;0;0
AY.4;2.319;4,56
AY.5;79;0,15
AY.6;152;0,3
AY.7;182;0,36
AY.7.1;2;0,04
AY.7.2;160;0,32
AY.9;259;0,51
AY.10;12;0,02
AY.x;1.564;3,07
B.1.525;432;0,8
B.1.526;8;0,02
B.1.617.1;19;0,04
C.37;12;0,02
B.1.617.3;0;0
P.2;3;0,01
Altro lignaggio;10.733;21,1
