Settimana n.;Settimana;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2020-44;1-7 novembre 2021;Lombardia;175;1.287;236.448;5,44;<3,16;396;22,56;181;4,6;595;4,63;115;2,26
2020-44;1-7 novembre 2021;P.A. di Bolzano;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;P. A. di Trento;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;Veneto;18;22;24.813;0,89;<3,16;5;3,52;-;-;15;1,1;2;0,33
2020-44;1-7 novembre 2021;Friuli V.G.;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;Liguria;10;8;12.624;0,63;<3,16;-;-;-;-;7;0,91;1;0,26
2020-44;1-7 novembre 2021;Emilia Romagna;44;208;53.748;3,87;<3,16;68;25,14;22;3,34;105;3,32;13;1,01
2020-44;1-7 novembre 2021;Toscana;27;110;44.188;2,49;<3,16;29;14,02;19;3,44;52;2,24;10;0,75
2020-44;1-7 novembre 2021;Umbria;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;Marche;7;26;8.487;3,06;<3,16;-;-;2;2,34;23;4,27;1;0,5
2020-44;1-7 novembre 2021;Lazio;184;757;241.530;3,13;<3,16;114;12,08;79;3,2;464;3,08;100;1,76
2020-44;1-7 novembre 2021;Abruzzo;35;112;38.525;2,91;<3,16;23;6,56;25;3,3;53;2,66;11;1,47
2020-44;1-7 novembre 2021;Molise;10;8;7.461;1,07;<3,16;-;-;1;2,02;5;1,08;2;0,95
2020-44;1-7 novembre 2021;Campania;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;Puglia;88;260;110.177;2,36;<3,16;63;10,09;52;3,86;109;1,69;36;1,39
2020-44;1-7 novembre 2021;Basilicata;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-44;1-7 novembre 2021;Sicilia;108;263;129.877;2,02;<3,16;42;8,8;32;2,37;140;1,75;49;1,56
2020-44;1-7 novembre 2021;Sardegna;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-45;8-14 novembre 2021;Piemonte;47;405;64.404;6,29; <9,37;123;29,03;76;8,13;176;4,91;30;2
2020-45;8-14 novembre 2021;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-45;8-14 novembre 2021;Lombardia;211;1.679;280.281;5,99;<3,16;461;25,1;200;4,78;855;5,44;163;2,59
2020-45;8-14 novembre 2021;P.A. di Bolzano;4;12;6.118;1,96;;4;11,87;-;-;8;2,18;-;-
2020-45;8-14 novembre 2021;P. A. di Trento;4;13;5.762;2,26;<3,16;4;10,93;1;1,09;8;2,56;-;-
2020-45;8-14 novembre 2021;Veneto;29;40;40.753;0,98;<3,16;7;2,58;-;-;28;1,25;5;0,52
2020-45;8-14 novembre 2021;Friuli V.G.;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
