Macroarea;Casi notificati al 02/03/2022;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;7061;431
Nord-Ovest;7699;433
Centro;6725;430
Sud e Isole;14944;447
TOTALE;36429;1741
