variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;18.802;32,33;1;0,02
B.1.1.7 + E484K;34;0,06;0;0
Q.1;178;0,31;0;0
Q.2;1006;1,73;0;0
Q.4;12;0,02;0;0
Q.7;1;<0,01;0;0
Q.8;78;0,13;0;0
20I (Alpha, V1);71;0,12;0;0
B.1.351;44;34,7;0;0
B.1.351.2;20;0,08;0;0
B.1.351.3;30;0,03;0;0
B.1.351.5;9;0,05;0;0
20H (Beta, V2);23;0,02;0;0
P.1;155;0,04;0;0
P.1.1;2.228;0,22;0;0
P.1.2;1;0,27;0;0
P.1.10;1;3,83;0;0
P.1.12;10;<0,01;0;0
P.1.13;2;<0,01;0;0
P.1.14;11;0,02;0;0
P.1.15;19;<0,01;0;0
P.1.16;2;0,02;0;0
P.1.17;2;0,03;0;0
P.1.17.1;2;<0,01;0;0
20J (Gamma, V3);153;<0,01;0;0
B.1.617.2;17.988;<0,01;3434;58,85
AY.1;8;0,26;1;0,02
AY.3;17;4,45;3;0,05
AY.4;1.331;30,93;373;6,39
AY.4.2;89;0,01;72;1,23
AY.4.3;69;0,03;31;0,53
AY.4.4;26;2,29;18;0,31
AY.4.5;47;0,15;9;0,15
AY.5;562;0,97;175;3
AY.5.2;3;0,01;0;0
AY.6;303;0,52;57;0,98
AY.7;28;0,05;2;0,03
AY.7.1;5;0,01;3;0,05
AY.7.2;829;1,43;35;0,6
AY.8;2;<0,01;1;0,02
AY.9;748;1,29;141;2,42
AY.10;86;0,15;27;0,46
AY.11;88;0,15;1;0,02
AY.12;15;0,03;1;0,02
AY.13;2;<0,01;0;0
AY.14;53;0,09;11;0,19
AY.16;4;0,01;0;0
AY.17;1;<0,01;1;0,02
AY.19;8;0,01;4;0,07
AY.20;90;0,15;22;0,38
AY.21;309;0,53;0;0
AY.22;3;0,01;0;0
AY.23;109;0,19;37;0,63
AY.23.1;4;0,01;0;0
AY.24;20;0,03;1;0,02
AY.25;49;0,08;7;0,12
AY.26;68;0,12;17;0,29
AY.27;4;0,01;1;0,02
AY.28;25;0,04;3;0,05
AY.29;9;0,02;4;0,07
AY.29.1;4;0,01;2;0,03
AY.31;2;<0,01;0;0
AY.32;50;0,09;17;0,29
AY.33;1.415;2,43;375;6,43
AY.34;1.920;3,3;348;5,96
AY.35;7;0,01;3;0,05
AY.36;60;0,1;37;0,63
AY.37;60;0,1;21;0,36
AY.38;153;0,26;14;0,24
AY.39;1.954;3,36;235;4,03
AY.39.1;6;0,01;2;0,03
AY.39.1.1;1;<0,01;0;0
AY.40;28;0,05;9;0,15
AY.41;19;0,03;4;0,07
21A (Delta);692;1,19;135;2,31
21I (Delta);177;0,3;17;0,29
21J (Delta);986;1,7;119;2,04
B.1.525;428;0,74;0;0
21D (Eta);45;0,08;0;0
B.1.617.1;21;0,04;0;0
C.37;13;0,02;0;0
C.37.1;6;0,01;0;0
B.1.617.3;1;<0,01;0;0
P.2;5;0,01;0;0
Other;4.214;7,25;4;0,07
