regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_BA-1;n_BA-2;n_BA-4;n_BA-5;NA;n_XJ;n_XL;n_XM;n_XT;n_Totale;percent_BA-1;percent_BA-2;percent_BA-4;percent_BA-5;percent_NA;percent_XJ;percent_XL;percent_XM;percent_XT;percent_Totale
Abruzzo;2;657;40;;22;11;7;;;;;;40;0.0;55.0;27.5;17.5;0.0;0.0;0.0;0.0;0.0;100.0
Basilicata;2;87;10;;2;1;7;;;;;;10;0.0;20.0;10.0;70.0;0.0;0.0;0.0;0.0;0.0;100.0
Calabria;4;802;40;;29;4;4;;;;;;37;0.0;78.4;10.8;10.8;0.0;0.0;0.0;0.0;0.0;100.0
Campania;3;221;80;1;64;2;6;;;1;1;;75;1.3;85.3;2.7;8.0;0.0;0.0;1.3;1.3;0.0;100.0
Emilia-Romagna;3;99;99;1;48;32;18;;;;;;99;1.0;48.5;32.3;18.2;0.0;0.0;0.0;0.0;0.0;100.0
Friuli-Venezia Giulia;5;47;46;;24;7;14;;;;;;45;0.0;53.3;15.6;31.1;0.0;0.0;0.0;0.0;0.0;100.0
Lazio;1;79;79;;46;6;25;;;;;;77;0.0;59.7;7.8;32.5;0.0;0.0;0.0;0.0;0.0;100.0
Liguria;7;745;46;;32;2;12;;;;;;46;0.0;69.6;4.3;26.1;0.0;0.0;0.0;0.0;0.0;100.0
Lombardia;17;260;258;1;147;39;57;13;1;;;;258;0.4;57.0;15.1;22.1;5.0;0.4;0.0;0.0;0.0;100.0
Marche;5;26;26;;15;5;6;;;;;;26;0.0;57.7;19.2;23.1;0.0;0.0;0.0;0.0;0.0;100.0
Molise;1;17;6;;3;;3;;;;;;6;0.0;50.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;100.0
P.A. Bolzano;1;10;7;;6;;1;;;;;;7;0.0;85.7;0.0;14.3;0.0;0.0;0.0;0.0;0.0;100.0
P.A. Trento;1;10;10;;5;3;2;;;;;;10;0.0;50.0;30.0;20.0;0.0;0.0;0.0;0.0;0.0;100.0
Piemonte;11;63;53;;26;9;11;7;;;;;53;0.0;49.1;17.0;20.8;13.2;0.0;0.0;0.0;0.0;100.0
Puglia;10;47;46;;28;3;15;;;;;;46;0.0;60.9;6.5;32.6;0.0;0.0;0.0;0.0;0.0;100.0
Sardegna;10;385;52;;42;3;7;;;;;;52;0.0;80.8;5.8;13.5;0.0;0.0;0.0;0.0;0.0;100.0
Sicilia;4;120;120;;78;7;33;1;;;;1;120;0.0;65.0;5.8;27.5;0.8;0.0;0.0;0.0;0.8;100.0
Toscana;3;102;89;;47;24;18;;;;;;89;0.0;52.8;27.0;20.2;0.0;0.0;0.0;0.0;0.0;100.0
Umbria;4;106;48;;31;5;12;;;;;;48;0.0;64.6;10.4;25.0;0.0;0.0;0.0;0.0;0.0;100.0
Valle d'Aosta;1;1;1;;;;1;;;;;;1;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0
Veneto;11;98;98;1;72;2;22;1;;;;;98;1.0;73.5;2.0;22.4;1.0;0.0;0.0;0.0;0.0;100.0
ITALIA;106;3982;1243;4;767;165;281;22;1;1;1;1;1243;0.32;62.98;11.41%;23.15;1.74;0.06;0.12;0.12;0.09;100.0
