Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
05/11/20;62;;1978;
06/11/20;54;;1980;
07/11/20;47;;1862;
08/11/20;55;;1679;
09/11/20;45;;1939;
10/11/20;40;;1919;
11/11/20;46;;2001;
12/11/20;46;;1908;
13/11/20;43;;1897;
14/11/20;44;;1708;
15/11/20;44;;1479;
16/11/20;66;;1851;
17/11/20;54;;1817;
18/11/20;35;;1724;
19/11/20;42;;1726;
20/11/20;29;;1638;
21/11/20;33;;1336;
22/11/20;25;;1140;
23/11/20;40;;1538;
24/11/20;46;;1457;
25/11/20;35;;1371;
26/11/20;40;;1296;
27/11/20;30;;1329;
28/11/20;38;;1179;
29/11/20;31;;1012;
30/11/20;32;;1202;
01/12/20;24;;1218;
02/12/20;27;;1215;
03/12/20;27;;1198;
04/12/20;36;;1141;
05/12/20;25;;1037;
06/12/20;32;;940;
07/12/20;38;;1028;
08/12/20;41;;969;
09/12/20;42;;1054;
10/12/20;20;;1049;
11/12/20;30;;1087;
12/12/20;27;;959;
13/12/20;25;;752;
14/12/20;25;;995;
15/12/20;27;;953;
16/12/20;32;;898;
17/12/20;20;;973;
18/12/20;34;;902;
19/12/20;31;;848;
20/12/20;12;;763;
21/12/20;26;;977;
22/12/20;23;;946;
23/12/20;32;;927;
24/12/20;25;;905;
25/12/20;16;;760;
26/12/20;28;;839;
27/12/20;26;;899;
28/12/20;27;;966;
29/12/20;34;;1006;
30/12/20;23;;951;
31/12/20;30;;973;
01/01/21;19;;856;
02/01/21;25;;1010;
03/01/21;22;;875;
04/01/21;26;;1072;
05/01/21;21;;1071;
06/01/21;28;;846;
07/01/21;27;;1053;
08/01/21;27;;1057;
09/01/21;33;;878;
10/01/21;34;;799;
11/01/21;25;;934;
12/01/21;28;;878;
13/01/21;26;;894;
14/01/21;18;;910;
15/01/21;20;;861;
16/01/21;27;;812;
17/01/21;25;;633;
18/01/21;21;;809;
19/01/21;22;;761;
20/01/21;30;;705;
21/01/21;22;;793;
22/01/21;11;;741;
23/01/21;15;;704;
24/01/21;10;;581;
25/01/21;16;;810;
26/01/21;18;;693;
27/01/21;8;;662;
28/01/21;11;;676;
29/01/21;11;;740;
30/01/21;11;;646;
31/01/21;7;;574;
01/02/21;13;;730;
02/02/21;8;;665;
03/02/21;7;;695;
04/02/21;11;;632;
05/02/21;8;;685;
06/02/21;15;;588;
07/02/21;4;;593;
08/02/21;11;;716;
09/02/21;7;;674;
10/02/21;11;;685;
11/02/21;13;;675;
12/02/21;9;;676;
13/02/21;7;;565;
14/02/21;6;;527;
15/02/21;8;;694;
16/02/21;7;;658;
17/02/21;3;;753;
18/02/21;9;;762;
19/02/21;12;;756;
20/02/21;7;;704;
21/02/21;12;;714;
22/02/21;13;;902;
23/02/21;6;;934;
24/02/21;5;;917;
25/02/21;3;;918;
26/02/21;3;;1041;
27/02/21;6;;986;
28/02/21;4;;890;
01/03/21;9;;1164;
02/03/21;3;;1318;
03/03/21;9;;1252;
04/03/21;8;;1232;
05/03/21;4;;1330;
06/03/21;11;;1262;
07/03/21;8;;1092;
08/03/21;13;;1478;
09/03/21;7;;1440;
10/03/21;8;;1427;
11/03/21;9;;1335;
12/03/21;12;;1487;
13/03/21;6;;1425;
14/03/21;5;;1267;
15/03/21;4;;1592;
16/03/21;9;;1586;
17/03/21;9;;1462;
18/03/21;4;;1414;
19/03/21;6;;1467;
20/03/21;5;;1406;
21/03/21;5;;1241;
22/03/21;9;;1477;
23/03/21;6;;1410;
24/03/21;12;;1379;
25/03/21;10;;1372;
26/03/21;8;;1435;
27/03/21;5;;1243;
28/03/21;8;;1047;
29/03/21;10;;1395;
30/03/21;9;;1300;
31/03/21;8;;1230;
01/04/21;16;;1269;
02/04/21;5;;1306;
03/04/21;9;;1119;
04/04/21;7;;912;
05/04/21;7;;967;
06/04/21;7;;1137;
07/04/21;3;;992;
08/04/21;9;;931;
09/04/21;9;;932;
10/04/21;6;;839;
11/04/21;4;;731;
12/04/21;5;;805;
13/04/21;3;;823;
14/04/21;7;;733;
15/04/21;5;;745;
16/04/21;8;;674;
17/04/21;6;;641;
18/04/21;7;;672;
19/04/21;3;;704;
20/04/21;5;;707;
21/04/21;8;;723;
22/04/21;4;;626;
23/04/21;3;;660;
24/04/21;7;;613;
25/04/21;4;;548;
26/04/21;3;;646;
27/04/21;4;;589;
28/04/21;5;;625;
29/04/21;1;;563;
30/04/21;3;;570;
01/05/21;0;;495;
02/05/21;4;;425;
03/05/21;4;;533;
04/05/21;5;;520;
05/05/21;3;;475;
06/05/21;8;;438;
07/05/21;4;;429;
08/05/21;2;;384;
09/05/21;5;;282;
10/05/21;6;;378;
11/05/21;3;;335;
12/05/21;2;;342;
13/05/21;2;;336;
14/05/21;2;;301;
15/05/21;1;;260;
16/05/21;2;;240;
17/05/21;2;;287;
18/05/21;0;;221;
19/05/21;1;;234;
20/05/21;1;;235;
21/05/21;0;;204;
22/05/21;0;;183;
23/05/21;2;;174;
24/05/21;2;;182;
25/05/21;2;;145;
26/05/21;2;;179;
27/05/21;1;;127;
28/05/21;1;;176;
29/05/21;0;;143;
30/05/21;1;;123;
31/05/21;1;;139;
01/06/21;1;;124;
02/06/21;0;;98;
03/06/21;1;;101;
04/06/21;1;;111;
05/06/21;0;;83;
06/06/21;1;;98;
