Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
11/10/20;147;;2964;
12/10/20;236;;4666;
13/10/20;227;;4364;
14/10/20;229;;4755;
15/10/20;248;;5192;
16/10/20;305;;5782;
17/10/20;280;;5626;
18/10/20;271;;5836;
19/10/20;396;;7555;
20/10/20;429;;8249;
21/10/20;383;;7657;
22/10/20;413;;7739;
23/10/20;462;;8339;
24/10/20;425;;7947;
25/10/20;437;;8003;
26/10/20;486;;10165;
27/10/20;453;;8736;
28/10/20;440;;9081;
29/10/20;424;;8658;
30/10/20;469;;9199;
31/10/20;411;;7789;
01/11/20;450;;10006;
02/11/20;542;;11429;
03/11/20;445;;9657;
04/11/20;534;;9841;
05/11/20;462;;9693;
06/11/20;470;;10361;
07/11/20;465;;9160;
08/11/20;409;;8439;
09/11/20;521;;10890;
10/11/20;482;;10209;
11/11/20;434;;8779;
12/11/20;475;;8552;
13/11/20;472;;9244;
14/11/20;436;;8133;
15/11/20;407;;7756;
16/11/20;514;;8906;
17/11/20;403;;7449;
18/11/20;396;;7657;
19/11/20;357;;6249;
20/11/20;437;;7372;
21/11/20;339;;5751;
22/11/20;307;;4957;
23/11/20;452;;6794;
24/11/20;423;;5814;
25/11/20;386;;6016;
26/11/20;415;;5617;
27/11/20;427;;5923;
28/11/20;385;;5473;
29/11/20;322;;4145;
30/11/20;471;;6287;
01/12/20;439;;6579;
02/12/20;459;;5778;
03/12/20;453;;5448;
04/12/20;463;;5738;
05/12/20;384;;5007;
06/12/20;331;;4327;
07/12/20;452;;5667;
08/12/20;361;;5007;
09/12/20;475;;5632;
10/12/20;441;;5616;
11/12/20;383;;5308;
12/12/20;348;;5178;
13/12/20;327;;4579;
14/12/20;462;;6037;
15/12/20;408;;5465;
16/12/20;373;;5439;
17/12/20;352;;5043;
18/12/20;372;;5278;
19/12/20;365;;4885;
20/12/20;363;;5210;
21/12/20;413;;6052;
22/12/20;411;;5783;
23/12/20;387;;5997;
24/12/20;349;;6174;
25/12/20;315;;5440;
26/12/20;370;;5836;
27/12/20;378;;6250;
28/12/20;452;;7816;
29/12/20;348;;6562;
30/12/20;367;;6425;
31/12/20;373;;6054;
01/01/21;329;;6480;
02/01/21;376;;6123;
03/01/21;350;;5842;
04/01/21;410;;7278;
05/01/21;360;;6236;
06/01/21;283;;5033;
07/01/21;324;;5250;
08/01/21;323;;4891;
09/01/21;277;;4421;
10/01/21;301;;4112;
11/01/21;341;;4715;
12/01/21;277;;4016;
13/01/21;270;;3911;
14/01/21;238;;3778;
15/01/21;271;;3920;
16/01/21;237;;3606;
17/01/21;233;;3227;
18/01/21;305;;4262;
19/01/21;249;;3865;
20/01/21;240;;4223;
21/01/21;218;;3683;
22/01/21;227;;3991;
23/01/21;187;;4031;
24/01/21;164;;3590;
25/01/21;188;;4426;
26/01/21;153;;3829;
27/01/21;128;;3892;
28/01/21;119;;3829;
29/01/21;135;;3673;
30/01/21;89;;3530;
31/01/21;96;;3381;
01/02/21;143;;5055;
02/02/21;131;;4212;
03/02/21;105;;4202;
04/02/21;91;;4102;
05/02/21;106;;4233;
06/02/21;84;;4285;
07/02/21;93;;3893;
08/02/21;109;;4826;
09/02/21;88;;4304;
10/02/21;77;;4792;
11/02/21;82;;4147;
12/02/21;68;;4420;
13/02/21;66;;4172;
14/02/21;43;;4336;
15/02/21;72;;5670;
16/02/21;68;;5268;
17/02/21;68;;5758;
18/02/21;79;;5962;
19/02/21;80;;6194;
20/02/21;80;;6736;
21/02/21;62;;6215;
22/02/21;89;;8193;
23/02/21;65;;7442;
24/02/21;72;;7659;
25/02/21;63;;7352;
26/02/21;76;;7880;
27/02/21;82;;7536;
28/02/21;58;;7216;
01/03/21;105;;11090;
02/03/21;80;;9158;
03/03/21;89;;9484;
04/03/21;67;;9035;
05/03/21;87;;9773;
06/03/21;66;;9224;
07/03/21;87;;8642;
08/03/21;105;;11197;
09/03/21;90;;9315;
10/03/21;85;;10433;
11/03/21;79;;9032;
12/03/21;94;;9508;
13/03/21;88;;8871;
14/03/21;79;;8393;
15/03/21;104;;10612;
16/03/21;91;;8730;
17/03/21;80;;8796;
18/03/21;67;;8224;
19/03/21;71;;8486;
20/03/21;97;;8525;
21/03/21;75;;7340;
22/03/21;96;;9316;
23/03/21;82;;8115;
24/03/21;99;;7703;
25/03/21;96;;7566;
26/03/21;90;;7396;
27/03/21;98;;6964;
28/03/21;60;;6174;
29/03/21;83;;7670;
30/03/21;91;;6572;
31/03/21;72;;5555;
01/04/21;70;;6058;
02/04/21;67;;5524;
03/04/21;37;;4694;
04/04/21;51;;4370;
05/04/21;56;;4501;
06/04/21;79;;5048;
07/04/21;76;;5077;
08/04/21;54;;4799;
09/04/21;49;;4518;
10/04/21;50;;4740;
11/04/21;60;;4007;
12/04/21;61;;5064;
13/04/21;49;;4424;
