Nomenclatura OMS;Lignaggio;Numero di sequenze;%
Alfa;B.1.1.7;24.345;64,48
Alfa;B.1.1.7+E484K;26;0,07
Beta;B.1.351;69;0,18
Gamma;P.1;655;1,73
Delta;B.1.617.2;2.244;5,94
Eta;B.1.525;409;1,08
Kappa;B.1.617.1;9;0,02
ND;B.1.617.3;0;0
ND;P.1.1;1.506;3,99
ND;P.2;3;0,01
;Altro lignaggio;8.489;22,48
Totale;;37.755;100
