Lignaggio;Numero di casi;%
B.1.1.7 (VOC-202012/01 - Variante UK);15.633;71,39
B.1.351 (501Y.V2 - variante sudafricana);49;0,22
P.1 (variante brasiliana);791;3,61
P.2 (variante brasiliana);3;0,01
B.1.525 (variante nigeriana);182;0,83
B.1.1.7 + E484K;7;0,03
B.1.617.1/2 (variante indiana)*;57;0,26
Altro lignaggio /non indicato**;5.177;23,64
Totale;21.899;100,0
