Macroarea;Casi notificati al 15/04/2021;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;2.658;390
Nord-Ovest;4.467;415
Centro;2.978;396
Sud e Isole;6.871;428
TOTALE;16.974;1.629
