Settimana;0_4;5_14;15_64;65 e oltre;Totale
2021-44;15,83;3,79;3,02;1,64;3,49
2021-45;17,87;4,47;3,63;2,07;4,16
2021-46;21,25;5,49;4,04;2,33;4,77
2021-47;21,05;5,68;4,02;2,29;4,76
2021-48;17,58;5,62;4,37;2,54;4,77
2021-49;14,53;4,79;3,75;2,28;4,11
2021-50;15,13;5,36;4,14;2,28;4,42
2021-51;13,14;5,55;4,89;2,5;4,88
2021-52;12,04;6,05;6,11;2,94;5,67
2022-01;8,58;5,07;5,8;2,77;5,16
2022-02;7,84;4,53;5,34;2,5;4,71
2022-03;9,38;5,16;4,99;2,37;4,63
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
