Nomenclatura OMS;Lignaggio;Numero di sequenze;%
Alfa;B.1.1.7;25.003;59,26
Alfa;B.1.1.7 + E484K;28;0,07
Beta;B.1.351;66;0,16
Beta;B.1.351.2;19;0,05
Beta;B.1.351.3;38;0,09
Gamma;P.1;409;0,97
Gamma;P.1.1;1.717;4,07
Gamma;P.1.2;0;0
Delta;B.1.617.2;4.512;10,69
Delta;AY.1;1;0
Delta;AY.2;0;0
Delta;AY.3;604;1,43
Eta;B.1.525;401;0,95
Kappa;B.1.617.1;10;0,02
ND;B.1.617.3;0;0
;Altro lignaggio;9.382;22,24
Totale;;42.190;100
