regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B.1-617-2;n_B-1-1-529;Other;percent_B.1-617-2;percent_B-1-1-529
ABRUZZO;2;1521;40;3;37;0;7,5;92,5
BASILICATA;2;482;9;0;9;0;0;100
CALABRIA;3;1693;45;1;29;0;3,3;96,7
CAMPANIA;3;4331;227;20;200;0;9,1;90,9
EMILIA ROMAGNA;3;197;197;2;191;0;1;99
FRIULI VENEZIA GIULIA;8;201;70;2;65;0;3;97
LAZIO*;5;529;529;17;444;0;3,7;96,3
LIGURIA;12;2496;45;2;43;0;4,4;95,6
LOMBARDIA;16;396;396;18;374;0;4,6;95,4
MARCHE**;5;76;48;1;47;0;2,1;97,9
MOLISE;1;32;11;0;11;0;0;100
PA BOLZANO;1;281;40;3;36;1;7,5;90
PA TRENTO;1;23;23;3;15;0;16,7;83,3
PIEMONTE;15;122;122;4;115;0;3,4;96,6
PUGLIA;11;37;37;0;37;0;0;100
SARDEGNA***;10;1576;52;2;50;0;3,8;96,2
SICILIA;5;841;207;27;180;0;13;87
TOSCANA****;3;312;156;1;155;0;0,6;99,4
UMBRIA;4;541;48;0;48;0;0;100
VALLE D'AOSTA;1;5;5;0;5;0;0;100
VENETO;13;179;179;8;171;0;4,5;95,5
ITALIA;124;15871;2486;114;2262;1;4,2;95,8
