regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_BA-1;n_BA-2;n_BA-3;n_XJ;n_XL;percent_BA-1;percent_BA-2;percent_BA-3;percent_XJ;percent_XL
Abruzzo;2;762;56;10;46;0;0;0;17,9;82,1;0;0;0
Basilicata;2;448;12;1;11;0;0;0;8,3;91,7;0;0;0
Calabria;4;1997;36;6;25;0;0;2;18,2;75,8;0;0;6,1
Campania;3;1352;144;22;118;0;0;0;15,7;84,3;0;0;0
Emilia-Romagna;3;157;157;10;147;0;0;0;6,4;93,6;0;0;0
Friuli-Venezia Giulia;6;158;65;6;58;0;0;0;9,4;90,6;0;0;0
Lazio;2;216;216;19;190;0;0;0;9,1;90,9;0;0;0
Liguria;9;523;49;2;47;0;0;0;4,1;95,9;0;0;0
Lombardia;17;384;384;37;345;0;0;0;9,7;90,3;0;0;0
Marche;5;61;61;11;50;0;0;0;18;82;0;0;0
Molise;1;33;31;10;19;0;0;0;34,5;65,5;0;0;0
P.A. Bolzano;1;30;21;0;21;0;0;0;0;100;0;0;0
P.A. Trento;1;14;14;2;12;0;0;0;14,3;85,7;0;0;0
Piemonte;12;98;98;9;74;1;2;0;10,5;86;1,2;2,3;0
Puglia;11;123;123;14;108;0;0;0;11,5;88,5;0;0;0
Sardegna;10;1117;43;9;20;0;5;9;20,9;46,5;0;11,6;20,9
Sicilia;6;102;102;17;84;1;0;0;16,7;82,4;1;0;0
Toscana;3;201;102;9;93;0;0;0;8,8;91,2;0;0;0
Umbria;4;316;48;5;43;0;0;0;10,4;89,6;0;0;0
Valle d'Aosta;1;2;2;0;2;0;0;0;0;100;0;0;0
Veneto;13;254;254;26;228;0;0;0;10,2;89,8;0;0;0
ITALIA;116;8348;2018;225;1741;2;7;11;11,8;86,6;0,2;0,5;0,9
