variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;imported_case;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;27.883;44,5;10;0,1;13.929;45,6;4;0,1;13.954;43,4;6;0,1;27.633;10;250;0
B.1.1.7 + E484K;75;0,1;1;<0,1;37;0,1;1;<0,1;38;0,1;0;0;75;1;0;0
B.1.351;289;0,5;2;<0,1;135;0,4;1;<0,1;154;0,5;1;<0,1;278;2;11;0
P.1;2.843;4,5;2;<0,1;1.391;4,6;0;0;1.452;4,5;2;<0,1;2.809;1;34;1
B.1.617.2;24.002;38,3;7.703;89,6;11.343;37,2;3.872;89,7;12.659;39,3;3.831;89,6;22.623;7.321;1.379;382
B.1.525;447;0,7;0;0;175;0,6;0;0;272;0,8;0;0;365;0;82;0
B.1.617.1;337;0,5;103;1,2;162;0,5;57;1,3;175;0,5;46;1,1;335;103;2;0
B.1.617.3;33;0,1;19;0,2;21;0,1;11;0,3;12;<0,1;8;0,2;28;15;5;4
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Altro lignaggio/non indicato;6.785;10,8;756;8,8;3.325;10,9;373;8,6;3.460;10,8;383;9;6.601;735;184;21
;;;;;;;;;;;;;;;;
